"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
"* 주택매매 거래는 부동산 거래신고 등에 관한 법률 제3조에 따라 계약일로부터 60일 이내 신고토록 하고 있습니다."
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20060601 ~ 20060630"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명"
"강원도 강릉시 교동","268-7","0268","0007","이화","58.12","45","200606","30","4,000","2","1981","율곡로2968번길 24"
"강원도 강릉시 노암동","337","0337","0000","개나리","50.71","62.55","200606","2","3,000","1","1983","노암길41번길 14"
"강원도 강릉시 노암동","337","0337","0000","개나리","50.71","62.55","200606","5","2,500","2","1983","노암길41번길 14"
"강원도 강릉시 노암동","315","0315","0000","노암","47.11","48","200606","8","2,200","2","1981","노암길 40"
"강원도 강릉시 노암동","267-8","0267","0008","성덕주택(금모래)","49.14","69.68","200606","15","1,700","3","1983","강변로312번길 3"
"강원도 강릉시 송정동","110-54","0110","0054","송정","68.4","67.5","200606","30","3,000","1","1981","팔송길18번길 15"
"강원도 강릉시 포남동","1178-1","1178","0001","현대","58.14","72.83","200606","5","2,900","1","1984","성덕포남로174번길 20"
"강원도 강릉시 홍제동","523","0523","0000","유진빌라","28.7","34","200606","14","800","-1","1995","경강로1855번안길 7"
"강원도 동해시 구미동","429","0429","0000","북평주공1차","46.86","93.34","200606","30","2,500","1","1986","구미3길 46"
"강원도 동해시 발한동","228-2","0228","0002","동림맨션","84.94","58.58","200606","26","4,400","3","1994","지리골길 10"
"강원도 동해시 부곡동","68-7","0068","0007","금호","66.81","49","200606","12","1,200","3","1981","승지로 10"
"강원도 동해시 천곡동","998-2","0998","0002","동산빌라2차","67.38","42.38","200606","26","2,000","3","1995","충혼길 15"
"강원도 동해시 천곡동","1038-7","1038","0007","신흥빌라B","42.76","27.84","200606","8","1,950","4","1995","동굴1길 92"
"강원도 동해시 천곡동","1037-3","1037","0003","영남주택C","53.52","48","200606","27","2,800","2","1990","동굴3길 17-5"
"강원도 삼척시 남양동","345-2","0345","0002","백조(1~3동)","49.8","41.52","200606","16","2,500","1","1986","남양길 49"
"강원도 삼척시 남양동","33-25","0033","0025","삼화(나동)","53.5","63.15","200606","15","4,100","2","1981","진주로 30-37"
"강원도 삼척시 당저동","39-3","0039","0003","장미","44.68","47.13","200606","22","1,600","1","1983","교동로 15-13"
"강원도 속초시 설악동","348-2","0348","0002","현대설악빌리지","61.83","86.95","200606","30","3,750","2","1988","청봉로1길 21"
"강원도 속초시 장사동","518-7","0518","0007","우림주택","62.64","156.93","200606","22","3,000","3","1986","중앙로 437-6"
"강원도 속초시 조양동","1463-14","1463","0014","부화","49.8","45.47","200606","27","4,200","2","1990","동해대로3950번길 26"
"강원도 속초시 조양동","590-1","0590","0001","설악빌리지","84.99","103.13","200606","20","5,500","1","1990","청대마을길 5"
"강원도 속초시 조양동","590-1","0590","0001","설악빌리지","72.78","89.24","200606","26","4,100","3","1990","청대마을길 5"
"강원도 속초시 조양동","590-1","0590","0001","설악빌리지","72.78","89.24","200606","29","4,500","2","1990","청대마을길 5"
"강원도 속초시 조양동","1373-8","1373","0008","우성","64.8","47","200606","5","2,300","2","1983","연포길 72-7"
"강원도 속초시 조양동","527-4","0527","0004","현대(527-4)","66.32","50","200606","12","4,350","1","1995","소평로 120"
"강원도 양구군 양구읍 상리","104-3","0104","0003","교보","39.92","63.43","200606","23","1,700","4","1997","중심로 126-9"
"강원도 영월군 영월읍 덕포리","417-67","0417","0067","청구홈타운(103동)","89.1","67.88","200606","28","2,500","4","2003","중리1길 183"
"강원도 영월군 영월읍 덕포리","417-67","0417","0067","청구홈타운(103동)","89.1","67.88","200606","28","3,500","1","2003","중리1길 183"
"강원도 영월군 영월읍 영흥리","777-2","0777","0002","동광맨션(B동)","76.28","65.25","200606","22","6,300","2","2005","봉래산로 56"
"강원도 영월군 영월읍 영흥리","1049-5","1049","0005","태일주택(1049-5)","43.02","50.17","200606","30","1,500","3","1989","단종로 112-1"
"강원도 영월군 영월읍 하송리","27-1","0027","0001","대한아트빌","84.36","77.06","200606","1","8,200","2","2006","은행나무1길 68"
"강원도 영월군 영월읍 하송리","27-1","0027","0001","대한아트빌","84.36","77.06","200606","1","7,000","1","2006","은행나무1길 68"
"강원도 영월군 영월읍 하송리","27-1","0027","0001","대한아트빌","84.36","77.06","200606","30","7,000","1","2006","은행나무1길 68"
"강원도 원주시 봉산동","1008-1","1008","0001","무진","59.17","80.87","200606","30","3,000","2","1984","무진길 33"
"강원도 원주시 소초면 장양리","711-4","0711","0004","한성빌라1,2동","70.585","76.96","200606","1","4,700","4","1997","장막1길 1"
"강원도 원주시 일산동","341-2","0341","0002","대림에버빌","74.62","47.38","200606","10","11,150","3","2006","단구로63번길 38"
"강원도 원주시 태장동","1390-7","1390","0007","장미연립","58.44","94.28","200606","15","3,200","2","1984","현충로322번길 22"
"강원도 원주시 태장동","692-3","0692","0003","태일주택","58.44","111.4","200606","30","2,800","2","1984","보수골길 4"
