"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
"* 주택매매 거래는 부동산 거래신고 등에 관한 법률 제3조에 따라 계약일로부터 60일 이내 신고토록 하고 있습니다."
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20100601 ~ 20100630"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명"
"강원도 강릉시 교동","303-1","0303","0001","이화","56.79","79.16","201006","7","3,500","2","1984","율곡로2968번안길 2"
"강원도 강릉시 내곡동","267","0267","0000","기산그린타운","30.59","57.51","201006","11","2,600","4","1997","범일로 528"
"강원도 강릉시 사천면 사천진리","24-5","0024","0005","선경","56.58","73.15","201006","28","2,400","4","1995","진리해변길 36"
"강원도 강릉시 송정동","110-42","0110","0042","송정","68.39","62.8","201006","23","4,000","2","1980","팔송길18번길 7"
"강원도 강릉시 입암동","662-448","0662","0448","삼익주택","47.16","102.24","201006","18","3,500","2","1989","부기길 16"
"강원도 강릉시 주문진읍 주문리","1157-98","1157","0098","소돌","48.09","57","201006","15","2,800","2","1983","신영길 21"
"강원도 강릉시 주문진읍 주문리","1157-98","1157","0098","소돌","48.09","57","201006","29","1,150","3","1983","신영길 21"
"강원도 강릉시 포남동","1005-165","1005","0165","무궁화국민주택","56.79","59.75","201006","3","3,200","2","1984","용지각길8번길 28"
"강원도 강릉시 포남동","1088-6","1088","0006","해당화국민주택","58.32","63.91","201006","18","3,700","2","1985","보래미하길 3"
"강원도 강릉시 포남동","1191-1","1191","0001","혜성국민주택","55.65","108","201006","17","4,300","1","1984","경강로2323번길 4"
"강원도 강릉시 홍제동","28-14","0028","0014","대호A동","84.3","55.24","201006","17","2,250","3","1999","골말길 34"
"강원도 고성군 간성읍 신안리","357-1","0357","0001","(357-1)","79.56","88.25","201006","30","4,100","2","1989","간성북로 21-8"
"강원도 고성군 죽왕면 삼포리","459-1","0459","0001","수진","53.2","63.67","201006","21","2,000","1","1994","순포로1길 17"
"강원도 동해시 발한동","302-1","0302","0001","(302-1)","108.49","46.19","201006","22","3,900","2","1990","중앙시장길 18"
"강원도 동해시 부곡동","5-152","0005","0152","일정타워빌라","59.7","68.57","201006","11","4,180","1","1992","전망대길 26-2"
"강원도 동해시 용정동","250-10","0250","0010","봉오","59.1","92","201006","2","3,750","2","1983","봉오동길 20"
"강원도 동해시 용정동","250-10","0250","0010","봉오","59.1","92","201006","14","2,500","1","1983","봉오동길 20"
"강원도 동해시 천곡동","966-11","0966","0011","광명골드","60.4","31.94","201006","2","4,350","4","1998","감추1길 10-1"
"강원도 동해시 천곡동","970-30","0970","0030","동건아트빌라2차","74.47","43.52","201006","4","4,935","2","1995","감추6길 23-5"
"강원도 동해시 천곡동","999-12","0999","0012","동산빌라1차","88.59","60","201006","30","7,000","2","1994","충혼길 19-5"
"강원도 동해시 천곡동","963-1","0963","0001","효성타운2차","65.95","38.04","201006","4","4,550","3","1994","감추1길 3-1"
"강원도 동해시 천곡동","963-1","0963","0001","효성타운2차","65.95","38.04","201006","14","5,700","2","1994","감추1길 3-1"
"강원도 동해시 천곡동","970-26","0970","0026","효성타운4차","83.02","47","201006","3","5,800","4","1994","감추5길 24-2"
"강원도 삼척시 당저동","116-12","0116","0012","월계파크","72.8","56.12","201006","4","5,100","1","1995","월계길 17-1"
"강원도 삼척시 성남동","114-26","0114","0026","대경샤인빌가동","71.21","43.61","201006","16","5,500","4","2003","엑스포로 116-29"
"강원도 속초시 교동","798-50","0798","0050","거산빌라","74.34","57.5","201006","26","3,800","2","1992","만리공원1길 18"
"강원도 속초시 교동","769-32","0769","0032","남성국민주택","61.51","60.27","201006","15","1,900","2","1984","만천1길 69"
"강원도 속초시 동명동","529","0529","0000","대명빌라","76.95","76.33","201006","11","4,500","1","1989","우렁길 5"
"강원도 속초시 동명동","530-53","0530","0053","동명(530-53)","56.69","51.3","201006","3","1,500","3","1983","우렁길 8"
"강원도 속초시 설악동","348-2","0348","0002","현대설악빌리지","38.52","56.8","201006","16","1,850","2","1988","청봉로1길 21"
"강원도 속초시 설악동","348-2","0348","0002","현대설악빌리지","48.96","71.7","201006","29","2,000","2","1988","청봉로1길 21"
"강원도 양구군 남면 용하리","376-2","0376","0002","진보","47.23","37.58","201006","18","2,000","3","1998","정중앙로663번길 9-46"
"강원도 양구군 양구읍 상리","104-3","0104","0003","교보","39.92","63.43","201006","24","3,000","2","1997","중심로 126-9"
"강원도 양구군 양구읍 상리","104-3","0104","0003","교보","39.92","63.43","201006","25","3,100","1","1997","중심로 126-9"
"강원도 양구군 양구읍 상리","104-3","0104","0003","교보","39.92","63.43","201006","27","2,950","1","1997","중심로 126-9"
"강원도 양구군 양구읍 정림리","232-10","0232","0010","정림하이츠빌2동","73.6","136","201006","7","8,000","2","2009","박수근로313번길 31-8"
"강원도 양구군 양구읍 정림리","232-10","0232","0010","정림하이츠빌2동","73.6","136","201006","16","7,900","3","2009","박수근로313번길 31-8"
"강원도 양구군 양구읍 하리","62","0062","0000","동진","68.62","58.88","201006","11","5,000","2","1993","관공서로38번길 24"
"강원도 양양군 손양면 동호리","130","0130","0000","경진하우스","39.78","66.03","201006","4","1,800","2","1995","선사유적로 288"
"강원도 양양군 손양면 동호리","130","0130","0000","경진하우스","34.56","57.38","201006","4","1,600","2","1995","선사유적로 288"
"강원도 양양군 손양면 동호리","130","0130","0000","경진하우스","39.78","66.81","201006","4","1,800","1","1995","선사유적로 288"
"강원도 양양군 손양면 동호리","130","0130","0000","경진하우스","34.56","57.38","201006","4","1,500","2","1995","선사유적로 288"
"강원도 양양군 손양면 동호리","130","0130","0000","경진하우스","39.78","66.03","201006","4","1,800","1","1995","선사유적로 288"
"강원도 양양군 손양면 동호리","130","0130","0000","경진하우스","34.56","57.38","201006","4","1,600","1","1995","선사유적로 288"
"강원도 양양군 손양면 동호리","130","0130","0000","경진하우스","34.56","57.38","201006","4","1,500","2","1995","선사유적로 288"
"강원도 양양군 손양면 동호리","130","0130","0000","경진하우스","34.56","57.38","201006","4","1,500","1","1995","선사유적로 288"
"강원도 양양군 손양면 동호리","130","0130","0000","경진하우스","39.78","66.03","201006","4","1,800","2","1995","선사유적로 288"
"강원도 양양군 손양면 동호리","130","0130","0000","경진하우스","39.78","66.03","201006","4","1,800","2","1995","선사유적로 288"
"강원도 양양군 손양면 동호리","130","0130","0000","경진하우스","34.56","57.38","201006","4","1,500","1","1995","선사유적로 288"
"강원도 양양군 손양면 동호리","130","0130","0000","경진하우스","39.78","66.03","201006","4","1,800","1","1995","선사유적로 288"
"강원도 양양군 현북면 기사문리","169-7","0169","0007","신천지","80.37","78.89","201006","22","3,000","4","1998","텃골길 27"
"강원도 영월군 영월읍 영흥리","727","0727","0000","대한아트빌(727)","84.47","102.63","201006","3","12,500","2","2010","봉래산로 90-23"
"강원도 영월군 영월읍 영흥리","791-1","0791","0001","대한아트빌(791-1)","69.22","76.25","201006","11","10,400","2","2010","봉래산로 90-21"
"강원도 영월군 영월읍 하송리","377-4","0377","0004","금성주택","33.33","20.55","201006","7","3,500","4","1996","절무리골길 3-8"
"강원도 영월군 주천면 주천리","1251-1","1251","0001","삼보","67.98","82.85","201006","11","3,000","1","1985","주천로58번길 53-3"
"강원도 원주시 단구동","686","0686","0000","보라매","66","72.22","201006","14","4,500","3","1984","단구로 304"
"강원도 원주시 단구동","113","0113","0000","성원주택","53.67","50.48","201006","7","5,200","2","1991","치악로1568번길 1"
"강원도 원주시 소초면 장양리","1340-1","1340","0001","실버빌리지","30","43.72","201006","18","1,500","1","1995","장막1길 1-8"
"강원도 원주시 우산동","287-2","0287","0002","미광","66","60.19","201006","18","3,900","2","1982","우무개로 22"
"강원도 원주시 학성동","975-24","0975","0024","은하주택","55.02","77.37","201006","7","4,700","1","1985","원문로 50"
"강원도 인제군 기린면 현리","741-3","0741","0003","현리타운A,B동","49.14","77.38","201006","14","3,000","3","1994","하마로길 18-2"
"강원도 인제군 북면 원통리","608-5","0608","0005","극동","64.47","84.75","201006","15","2,350","2","1985","금강로 73"
"강원도 인제군 북면 원통리","306-4","0306","0004","청운연립","64.35","80.03","201006","11","5,000","4","2002","갈골로2길 31-15"
"강원도 인제군 인제읍 상동리","310-4","0310","0004","극동연립A동","56.84","68.22","201006","30","3,600","1","1984","인제로155번길 6"
"강원도 인제군 인제읍 상동리","268-6","0268","0006","낙원빌라","30.92","27.77","201006","1","2,950","3","2000","비봉로30번길 24"
"강원도 인제군 인제읍 상동리","342-2","0342","0002","삼성빌라트5차101,102동","47.64","61.9","201006","21","6,300","1","2005","인제로167번길 9-4"
"강원도 철원군 갈말읍 문혜리","1106-13","1106","0013","대영맨아트","75.04","61.85","201006","13","3,650","2","1995","태봉로 1550-14"
"강원도 철원군 갈말읍 신철원리","604-13","0604","0013","청광빌라","48.94","27.94","201006","16","2,650","1","1994","명성로174번길 42-2"
"강원도 철원군 갈말읍 지포리","102-13","0102","0013","그린빌라","69.53","43.2","201006","14","6,300","2","1998","명성로139번길 14-5"
"강원도 철원군 갈말읍 지포리","73-1","0073","0001","동산주택","23.43","16.9","201006","21","1,500","2","1996","명성로149번길 53"
"강원도 철원군 동송읍 이평리","687-5","0687","0005","충무빌라","59.76","41.75","201006","18","3,000","3","1991","이평2로 27"
"강원도 철원군 서면 와수리","1203-5","1203","0005","성우빌라(나/다동)","59.94","65.99","201006","22","4,000","2","1991","와수로181번길 8-17"
"강원도 철원군 철원읍 화지리","83-15","0083","0015","현대빌라","76.05","63.9","201006","23","5,200","3","1999","금학로317번길 26"
"강원도 철원군 철원읍 화지리","83-15","0083","0015","현대빌라","76.05","63.9","201006","23","5,300","1","1999","금학로317번길 26"
"강원도 춘천시 교동","147-1","0147","0001","교동주택","26.22","24.82","201006","18","2,200","4","1994","교동길17번길 10"
"강원도 춘천시 근화동","743-20","0743","0020","가득빌라20","39.43","25.72","201006","15","4,200","-1","1992","중앙로194번길 58"
"강원도 춘천시 동내면 학곡리","313-13","0313","0013","덕화빌라 A,B동","49.5","57.37","201006","17","4,350","3","1992","학곡서길 25"
"강원도 춘천시 신동면 증리","928-1","0928","0001","서림주택","46.98","54.33","201006","9","4,300","3","1987","금병의숙길 1-14"
"강원도 춘천시 후평동","498-52","0498","0052","신한주택다동","54.57","31.79","201006","9","5,500","2","1999","춘천로270번길 21"
"강원도 태백시 문곡동","28-1","0028","0001","고원","54.99","102.39","201006","9","3,730","1","1991","섬거랑길 11"
"강원도 태백시 문곡동","28-1","0028","0001","고원","54.99","102.39","201006","30","2,500","2","1991","섬거랑길 11"
"강원도 태백시 문곡동","2-3","0002","0003","금성","49.92","91.67","201006","15","2,650","4","1993","태백로 1500"
