"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
"* 주택매매 거래는 부동산 거래신고 등에 관한 법률 제3조에 따라 계약일로부터 60일 이내 신고토록 하고 있습니다."
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20130101 ~ 20130131"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명"
"강원도 강릉시 강동면 정동진리","50-90","0050","0090","힐이스턴하우스","49.89","76.95","201301","11","4,039","4","2007","헌화로 906-10"
"강원도 강릉시 강동면 정동진리","50-90","0050","0090","힐이스턴하우스","49.89","76.95","201301","31","3,600","2","2007","헌화로 906-10"
"강원도 강릉시 강동면 정동진리","50-90","0050","0090","힐이스턴하우스","49.89","76.95","201301","31","3,550","2","2007","헌화로 906-10"
"강원도 강릉시 강동면 정동진리","50-90","0050","0090","힐이스턴하우스","49.89","76.95","201301","31","3,600","3","2007","헌화로 906-10"
"강원도 강릉시 강동면 정동진리","50-90","0050","0090","힐이스턴하우스","49.89","76.95","201301","31","3,600","3","2007","헌화로 906-10"
"강원도 강릉시 강동면 정동진리","50-90","0050","0090","힐이스턴하우스","52.2","80.51","201301","31","3,350","1","2007","헌화로 906-10"
"강원도 강릉시 강동면 정동진리","50-90","0050","0090","힐이스턴하우스","49.89","76.95","201301","31","3,600","3","2007","헌화로 906-10"
"강원도 강릉시 강동면 정동진리","50-90","0050","0090","힐이스턴하우스","49.89","76.95","201301","31","3,602","2","2007","헌화로 906-10"
"강원도 강릉시 교동","834-3","0834","0003","대동","53.23","74","201301","28","4,500","2","1983","옛강일길 30"
"강원도 강릉시 내곡동","267","0267","0000","기산그린타운","30.59","57.51","201301","14","3,500","1","1997","범일로 528"
"강원도 강릉시 포남동","1278","1278","0000","민락","57.42","55.85","201301","7","5,300","2","1984","경강로2356번길 13"
"강원도 강릉시 포남동","1005-134","1005","0134","옥포","52.74","53.75","201301","31","3,600","2","1983","용지각길8번길 29"
"강원도 동해시 천곡동","1054-2","1054","0002","동림빌라","58.58","35.57","201301","2","5,000","3","1993","샘실2길 26"
"강원도 동해시 천곡동","1038-8","1038","0008","범주성지빌라(나)","57.01","29.18","201301","25","3,900","1","1993","동굴3길 21"
"강원도 동해시 천곡동","1035-10","1035","0010","영동주택A","28.89","15.23","201301","5","2,400","3","1991","동굴3길 7-2"
