"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
"* 주택매매 거래는 부동산 거래신고 등에 관한 법률 제3조에 따라 계약일로부터 60일 이내 신고토록 하고 있습니다."
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20090701 ~ 20090731"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명"
"강원도 강릉시 교동","303-1","0303","0001","이화","56.79","79.16","200907","30","4,250","3","1984","율곡로2968번안길 2"
"강원도 강릉시 노암동","282-1","0282","0001","한일","62.28","54.61","200907","13","2,000","1","1978","연화봉길33번길 6-15"
"강원도 강릉시 노암동","282-1","0282","0001","한일","62.28","54.61","200907","14","2,000","1","1978","연화봉길33번길 6-15"
"강원도 강릉시 사천면 사천진리","24-5","0024","0005","선경","56.58","73.15","200907","15","2,000","4","1995","진리해변길 36"
"강원도 강릉시 송정동","216-3","0216","0003","소라임대주택C단지","56.34","77.24","200907","1","3,000","2","1985","송정길 20"
"강원도 강릉시 옥천동","223","0223","0000","동부시장주택","54.98","16.5","200907","13","2,800","3","1977","옥천로 48"
"강원도 강릉시 주문진읍 주문리","1157-98","1157","0098","소돌","48.09","57","200907","31","1,800","3","1983","신영길 21"
"강원도 강릉시 포남동","1084-1","1084","0001","비둘기주택","49.41","7.03","200907","5","2,500","1","1984","가작로303번길 22"
"강원도 고성군 거진읍 거진리","325-7","0325","0007","현대빌라102","73.86","54","200907","30","4,500","4","2003","벌평로 25"
"강원도 고성군 죽왕면 문암진리","14-4","0014","0004","백도하이빌A","30.36","18.29","200907","16","2,900","1","2004","문암항길 76"
"강원도 동해시 동회동","264-17","0264","0017","국민주택(7~10동)","71.16","112.4","200907","13","1,500","2","1983","신당3길 13-1"
