"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
"* 주택매매 거래는 부동산 거래신고 등에 관한 법률 제3조에 따라 계약일로부터 60일 이내 신고토록 하고 있습니다."
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20130501 ~ 20130531"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명"
"강원도 강릉시 교동","834-3","0834","0003","대동","53.23","74","201305","2","4,400","2","1983","옛강일길 30"
"강원도 강릉시 노암동","315","0315","0000","노암","47.11","48","201305","10","2,450","1","1981","노암길 40"
"강원도 강릉시 노암동","267-8","0267","0008","성덕주택(금모래)","49.14","71.87","201305","11","3,700","1","1983","강변로312번길 3"
"강원도 강릉시 옥계면 현내리","429-1","0429","0001","동화","47.79","80.33","201305","6","2,000","3","1985","옥계로 1050"
"강원도 강릉시 옥계면 현내리","351-1","0351","0001","은하수","57.78","86.88","201305","3","3,600","2","1984","현내시장길 52"
"강원도 강릉시 주문진읍 주문리","1157-98","1157","0098","소돌","48.09","57","201305","21","2,400","2","1983","신영길 21"
"강원도 강릉시 포남동","1235-5","1235","0005","대목빌라8차","71.15","62.01","201305","10","10,000","3","1991","성덕포남로200번길 15"
"강원도 강릉시 홍제동","143-3","0143","0003","장수","79.79","57.66","201305","10","5,300","3","1982","토성로 93"
"강원도 강릉시 홍제동","120-6","0120","0006","태양열","67.57","76.7","201305","28","5,400","2","1981","새냉이길27번길 10"
"강원도 강릉시 홍제동","111-3","0111","0003","홍제","68","110.3","201305","2","5,000","1","1983","홍제로19번길 21-21"
"강원도 동해시 구미동","429","0429","0000","북평주공1차","46.86","93.34","201305","20","4,390","2","1986","구미3길 46"
"강원도 동해시 발한동","230-1","0230","0001","동호주택","71.42","115.4","201305","30","4,400","1","1984","발한로 159-9"
"강원도 동해시 발한동","230-1","0230","0001","동호주택","71.42","92.6","201305","30","4,400","1","1984","발한로 159-9"
"강원도 동해시 부곡동","74-7","0074","0007","영동5차주택","27.52","19.9","201305","19","1,500","1","1994","가마골길 26-12"
"강원도 동해시 부곡동","7-75","0007","0075","장미(나)","67.88","32.5","201305","27","2,500","1","1981","부곡5길 34"
"강원도 동해시 용정동","509-1","0509","0001","해미르","60","84.62","201305","15","9,500","2","2011","초원1길 14-2"
"강원도 동해시 천곡동","1035-3","1035","0003","뉴코아맨션AB","24.21","15.22","201305","18","1,450","2","1991","동굴3길 7-9"
"강원도 동해시 천곡동","970-30","0970","0030","동건아트빌라2차","82.49","48.21","201305","12","7,000","4","1995","감추6길 23-5"
"강원도 동해시 천곡동","1030-6","1030","0006","승우주택A","64.06","33.07","201305","10","4,000","2","1991","동굴1길 10-5"
"강원도 동해시 천곡동","1035-10","1035","0010","영동주택A","28.89","15.23","201305","13","2,050","4","1991","동굴3길 7-2"
"강원도 삼척시 도계읍 도계리","351-5","0351","0005","솔밭한림","57.06","68.7","201305","23","4,100","2","1986","강원남부로 1545-5"
"강원도 삼척시 도계읍 전두리","102-1","0102","0001","전두","55.755","65","201305","30","4,000","1","1986","도계로 199-15"
"강원도 삼척시 원당동","101-3","0101","0003","벽산빌라","80.4","61.51","201305","28","5,100","4","1993","오십천로 276"
"강원도 속초시 교동","799-89","0799","0089","동방빌라","54.54","40.66","201305","10","2,000","1","1990","만리공원길 52-6"
"강원도 속초시 금호동","625-42","0625","0042","금호","52","90.52","201305","10","3,100","2","1982","번영로67번길 19"
"강원도 속초시 금호동","625-42","0625","0042","금호","52","90.52","201305","25","2,100","1","1982","번영로67번길 19"
"강원도 속초시 금호동","623-40","0623","0040","대명빌라","58.11","55.08","201305","1","4,400","1","1989","미시령로3469번길 42"
"강원도 속초시 설악동","348-2","0348","0002","현대설악빌리지","38.52","56.8","201305","3","2,400","2","1988","청봉로1길 21"
"강원도 속초시 영랑동","183-5","0183","0005","대양(183-5)","64.85","66.38","201305","30","2,950","3","1983","번영로 181"
"강원도 속초시 조양동","1431-1","1431","0001","설악비치하우스","36.46","54.19","201305","7","2,250","1","1987","해오름로 202"
"강원도 속초시 조양동","1431-1","1431","0001","설악비치하우스","32.01","25.09","201305","29","2,970","1","1987","해오름로 202"
"강원도 속초시 조양동","590-1","0590","0001","설악빌리지","84.99","103.13","201305","17","9,500","1","1990","청대마을길 5"
"강원도 속초시 조양동","633-8","0633","0008","오복주택","54.9","60.83","201305","27","3,500","2","1986","동해대로 4176-1"
"강원도 양구군 양구읍 상리","104-3","0104","0003","교보","39.92","63.43","201305","13","2,500","3","1997","중심로 126-9"
"강원도 양구군 양구읍 상리","104-3","0104","0003","교보","39.92","63.42","201305","23","3,000","4","1997","중심로 126-9"
"강원도 양구군 양구읍 정림리","232-10","0232","0010","정림하이츠빌2동","73.6","136","201305","29","11,000","1","2009","박수근로313번길 31-8"
"강원도 양양군 손양면 동호리","130","0130","0000","경진하우스","34.56","57.38","201305","20","1,750","2","1995","선사유적로 288"
"강원도 양양군 손양면 동호리","130","0130","0000","경진하우스","39.78","66.03","201305","20","1,900","2","1995","선사유적로 288"
