"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
"* 주택매매 거래는 부동산 거래신고 등에 관한 법률 제3조에 따라 계약일로부터 60일 이내 신고토록 하고 있습니다."
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20060801 ~ 20060831"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명"
"강원도 강릉시 내곡동","267","0267","0000","기산그린타운","30.59","57.51","200608","19","2,600","3","1997","범일로 528"
"강원도 강릉시 옥천동","223","0223","0000","동부시장주택","60.99","13.2","200608","12","3,260","4","1977","옥천로 48"
"강원도 강릉시 임당동","89-21","0089","0021","세화","65.62","47","200608","21","4,500","1","1981","경강로2095번길 6-1"
"강원도 강릉시 초당동","222-4","0222","0004","정아","54.9","52.69","200608","16","2,600","2","1990","초당원길 99"
"강원도 강릉시 포남동","1005-134","1005","0134","옥포","52.74","53.75","200608","17","2,700","3","1983","용지각길8번길 29"
"강원도 강릉시 포남동","1005-134","1005","0134","옥포","52.74","53.75","200608","24","1,800","3","1983","용지각길8번길 29"
"강원도 강릉시 포남동","1191-1","1191","0001","혜성국민주택","55.56","108","200608","9","3,600","3","1984","경강로2323번길 4"
"강원도 강릉시 홍제동","139-6","0139","0006","삼진","49.95","24.66","200608","29","1,800","2","1980","홍제로 34"
"강원도 동해시 구미동","429","0429","0000","북평주공1차","46.86","93.34","200608","10","3,400","1","1986","구미3길 46"
"강원도 동해시 구미동","429","0429","0000","북평주공1차","46.86","93.34","200608","13","3,800","1","1986","구미3길 46"
"강원도 동해시 용정동","250-10","0250","0010","봉오","59.1","92","200608","25","2,500","2","1983","봉오동길 20"
"강원도 동해시 천곡동","1038-8","1038","0008","범주성지빌라(나)","57.01","29.18","200608","9","2,800","1","1993","동굴3길 21"
"강원도 동해시 천곡동","1077-5","1077","0005","삼양타워1차","138.52","54.37","200608","28","6,500","3","1993","한섬로 61-1"
"강원도 동해시 천곡동","1037-1","1037","0001","영남주택D","58.05","29.13","200608","16","2,500","3","1990","동굴3길 9-18"
"강원도 동해시 천곡동","968-4","0968","0004","은마빌라2차","69.15","35.81","200608","9","3,200","1","1993","감추5길 27-1"
"강원도 동해시 천곡동","814-12","0814","0012","좋은빌라","74.77","40.74","200608","14","4,000","2","2000","평원2길 10-1"
"강원도 동해시 효가동","362-108","0362","0108","월문빌라","45.45","26.98","200608","21","2,000","2","1994","양지1길 12"
"강원도 삼척시 남양동","345-2","0345","0002","백조(1~3동)","49.8","41.52","200608","23","2,500","3","1986","남양길 49"
"강원도 삼척시 남양동","344-4","0344","0004","백조상가","70.2","38.1","200608","24","4,350","5","1989","남양길 41-80"
"강원도 삼척시 남양동","5-39","0005","0039","현진빌라A","66.19","60.6","200608","1","4,000","2","1991","사대1길 10-12"
"강원도 삼척시 당저동","12-1","0012","0001","봉황(라~바)","59.215","73.61","200608","28","3,000","2","1982","사대1길 25-34"
"강원도 속초시 교동","767-47","0767","0047","무지개빌라","59.49","73.15","200608","16","950","3","1986","만천4길 4-13"
"강원도 속초시 설악동","348-2","0348","0002","현대설악빌리지","61.83","86.95","200608","1","2,500","1","1988","청봉로1길 21"
"강원도 속초시 영랑동","202","0202","0000","둥지빌라","74.21","116.5","200608","28","7,000","1","2004","영랑로6길 6"
"강원도 속초시 장사동","518-7","0518","0007","우림주택","62.64","156.93","200608","8","2,400","3","1986","중앙로 437-6"
"강원도 속초시 조양동","590-1","0590","0001","설악빌리지","72.78","89.24","200608","22","4,300","3","1990","청대마을길 5"
"강원도 속초시 조양동","590-1","0590","0001","설악빌리지","72.78","89.24","200608","25","4,500","1","1990","청대마을길 5"
"강원도 속초시 조양동","527-12","0527","0012","현대(527-12)","66.32","49.88","200608","16","4,100","2","1995","소평로 118"
"강원도 양구군 양구읍 상리","104-3","0104","0003","교보","39.92","63.43","200608","7","2,550","3","1997","중심로 126-9"
"강원도 양양군 현남면 남애리","454-1","0454","0001","강맥남애빌라","63.12","62.38","200608","11","4,030","4","1992","남애안길 38"
"강원도 영월군 영월읍 영흥리","781-6","0781","0006","동양주택","71.28","71.96","200608","29","3,550","1","1989","내성길21번길 2"
"강원도 영월군 영월읍 영흥리","961-3","0961","0003","성운빌라","76.86","64.5","200608","28","6,000","3","2003","단종로 32-6"
"강원도 영월군 주천면 주천리","1386-2","1386","0002","마이홈빌라B동","76.03","55.75","200608","7","3,700","4","1993","주천로89번길 26-5"
"강원도 원주시 단계동","107-1","0107","0001","(107-1번지)","55.71","39","200608","10","3,986","1","1995","원문로112번길 26-9"
"강원도 원주시 단계동","107-1","0107","0001","(107-1번지)","68.02","39","200608","10","4,941","4","1995","원문로112번길 26-9"
"강원도 원주시 단계동","107-1","0107","0001","(107-1번지)","55.71","39","200608","10","4,305","2","1995","원문로112번길 26-9"
"강원도 원주시 단계동","107-1","0107","0001","(107-1번지)","55.71","39","200608","10","4,305","2","1995","원문로112번길 26-9"
"강원도 원주시 단계동","107-1","0107","0001","(107-1번지)","55.71","39","200608","10","4,305","3","1995","원문로112번길 26-9"
"강원도 원주시 단계동","107-1","0107","0001","(107-1번지)","55.71","39","200608","10","4,145","3","1995","원문로112번길 26-9"
"강원도 원주시 단계동","107-1","0107","0001","(107-1번지)","55.71","39","200608","10","3,986","1","1995","원문로112번길 26-9"
"강원도 원주시 단구동","572-1","0572","0001","삼우(1)","48.78","87.75","200608","31","6,000","3","1983","단구로 247"
"강원도 원주시 소초면 장양리","1340-1","1340","0001","실버빌리지","30","43.72","200608","25","1,400","2","1995","장막1길 1-8"
"강원도 원주시 우산동","287-2","0287","0002","미광","66","60.19","200608","14","2,500","2","1982","우무개로 22"
"강원도 원주시 우산동","95-3","0095","0003","진영","60.6","63.01","200608","17","3,150","2","1979","우무개로 9-10"
"강원도 원주시 태장동","748-9","0748","0009","치악하이츠빌라A동","68.01","56.6","200608","24","4,700","4","1998","육판길 14-3"
"강원도 원주시 태장동","748-6","0748","0006","치악하이츠빌라B동","67.29","55.3","200608","1","4,500","1","1998","육판길 14-3"
"강원도 원주시 태장동","748-6","0748","0006","치악하이츠빌라B동","67.29","55.3","200608","1","4,500","3","1998","육판길 14-3"
"강원도 원주시 태장동","748-6","0748","0006","치악하이츠빌라B동","65.85","55.3","200608","1","4,300","4","1998","육판길 14-3"
"강원도 원주시 태장동","748-6","0748","0006","치악하이츠빌라B동","67.29","55.3","200608","1","4,500","3","1998","육판길 14-3"
"강원도 원주시 태장동","748-6","0748","0006","치악하이츠빌라B동","67.29","55.3","200608","1","4,400","2","1998","육판길 14-3"
"강원도 원주시 태장동","748-6","0748","0006","치악하이츠빌라B동","67.29","55.3","200608","1","4,500","3","1998","육판길 14-3"
"강원도 인제군 기린면 현리","709-4","0709","0004","성신빌라(709-4)B동","51.12","55.67","200608","4","2,500","2","1994","내린천로 3977"
"강원도 철원군 갈말읍 문혜리","1106-13","1106","0013","대영맨아트","83.79","73.36","200608","25","4,500","2","1995","태봉로 1550-14"
"강원도 철원군 갈말읍 문혜리","1249-2","1249","0002","삼성맨션","36.32","46.96","200608","18","1,100","4","1993","궁예로 839-1"
"강원도 철원군 갈말읍 문혜리","1249-2","1249","0002","삼성맨션","36.32","46.96","200608","18","1,100","3","1993","궁예로 839-1"
"강원도 철원군 동송읍 이평리","861-51","0861","0051","궁전빌라","61.215","56.2","200608","14","2,360","2","1998","이평로123번길 9"
"강원도 철원군 동송읍 이평리","855-27","0855","0027","동주연립(바)","84.24","143.75","200608","11","3,400","2","1983","이평로88번길 4"
"강원도 철원군 서면 자등리","759-10","0759","0010","자등빌라","67.25","80.27","200608","30","3,200","3","1997","신술2길 29-1"
"강원도 춘천시 동내면 신촌리","582-4","0582","0004","아성빌라","75.55","61.13","200608","10","5,300","3","1993","장안1길 7"
"강원도 춘천시 약사동","160-3","0160","0003","삼양연립 A,B,C동","73.44","68.59","200608","21","6,800","2","1981","춘천로67번길 22"
"강원도 춘천시 약사동","160-3","0160","0003","삼양연립 A,B,C동","73.73","68.59","200608","23","3,400","1","1981","춘천로67번길 22"
"강원도 춘천시 효자동","159-21","0159","0021","상우","58.815","74.48","200608","4","5,400","3","1982","효제길23번길 14"
"강원도 춘천시 효자동","149-1","0149","0001","소양","60.88","56.5","200608","28","3,100","3","1981","도화길6번길 39"
"강원도 춘천시 효자동","159","0159","0000","스마일주택","58.77","71.11","200608","19","5,300","3","1984","효제길23번길 12"
"강원도 춘천시 후평동","857","0857","0000","동보빌리지","64.62","76.52","200608","22","6,100","3","1987","삭주로 90"
"강원도 춘천시 후평동","498-52","0498","0052","신한주택다동","39.51","23.03","200608","18","4,000","2","1999","춘천로270번길 21"
"강원도 태백시 황지동","49-104","0049","0104","대림2","42.84","51.58","200608","1","1,890","3","1986","문화로1길 15"
"강원도 태백시 황지동","49-104","0049","0104","대림2","42.84","51.58","200608","1","1,910","1","1986","문화로1길 15"
"강원도 태백시 황지동","49-104","0049","0104","대림2","42.84","51.58","200608","4","1,890","3","1986","문화로1길 15"
"강원도 태백시 황지동","8-77","0008","0077","문화","52.74","76.1","200608","10","3,700","1","1983","연지로33번길 24"
"강원도 태백시 황지동","409-14","0409","0014","성효","43.415","54.7","200608","18","2,150","2","1987","서학1길 47"
"강원도 태백시 황지동","274-565","0274","0565","시민(274-565)","49.14","55.5","200608","25","1,300","1","1982","연지로25번길 42"
"강원도 태백시 황지동","274-807","0274","0807","유진하이츠(비동)","112.47","62.46","200608","3","12,500","3","1999","장수4길 22"
"강원도 태백시 황지동","산57-28","0057","0028","이화주택","57.27","62.33","200608","22","1,900","3","1986","문화로 6-8"
"강원도 평창군 대관령면 횡계리","279-100","0279","0100","그레이스빌라","69.97","49.63","200608","30","9,000","4","1994","종지목길 30-14"
"강원도 평창군 대관령면 횡계리","356-4","0356","0004","용평하이츠빌","110.25","86.56","200608","3","15,000","2","2003","송전길 13"
"강원도 평창군 대화면 대화리","924-1","0924","0001","동방산업주택","64.35","72.66","200608","1","2,400","2","1992","우전길 5-28"
"강원도 평창군 진부면 하진부리","51","0051","0000","대관령빌라","45.91","59.32","200608","17","2,350","1","1991","진부중앙로 135"
"강원도 홍천군 북방면 하화계리","294-14","0294","0014","동승빌라","66.1","43.2","200608","21","2,500","3","1993","홍천로 196-12"
"강원도 홍천군 홍천읍 희망리","120-1","0120","0001","성심","54.33","74.6","200608","2","3,162","1","1985","마지기로 52"
"강원도 횡성군 우천면 우항리","599-1","0599","0001","세화빌라","59.21","49.63","200608","7","3,250","3","1994","수남로 345-3"
"강원도 횡성군 횡성읍 읍하리","296-4","0296","0004","재림","77.07","32.6","200608","16","2,300","4","1993","대동로 23"
"강원도 횡성군 횡성읍 읍하리","528-5","0528","0005","진명하이츠빌라트 102동","56.79","45.49","200608","14","3,000","1","1993","읍하남로21번길 25"
"강원도 횡성군 횡성읍 읍하리","467","0467","0000","한성빌라(가,나동)","59.99","49.63","200608","12","4,600","4","1994","교항북로 30"
"경기도 가평군 가평읍 대곡리","285-5","0285","0005","대성빌리지","72","57.16","200608","31","4,800","1","2001","석봉로153번길 11"
"경기도 가평군 가평읍 읍내리","380-5","0380","0005","자연빌라","73.53","66","200608","10","6,500","3","2002","신용길 15-1"
"경기도 가평군 조종면 현리","233-6","0233","0006","그린빌라다동","61.02","53.46","200608","30","4,270","2","2002"," 68"
"경기도 가평군 조종면 현리","481-42","0481","0042","돌산빌라","75.08","43","200608","10","5,950","1","2004"," 15"
"경기도 가평군 조종면 현리","481-42","0481","0042","돌산빌라","75.08","43","200608","21","4,300","4","2004"," 15"
"경기도 가평군 조종면 현리","222-12","0222","0012","태양빌라","39.24","12.55","200608","28","950","1","1988"," 58"
"경기도 가평군 청평면 청평리","688-3","0688","0003","청평맨션","84.79","81.5","200608","24","4,400","3","1990","강변나루로40번길 30"
"경기도 고양덕양구 고양동","319-11","0319","0011","나성그린타운(319-11)","58.74","40.49","200608","22","6,250","3","1994","읍내로 83-34"
"경기도 고양덕양구 고양동","411-14","0411","0014","명성빌라(411-14)","36.21","20.25","200608","11","3,200","4","1992","동헌로 388"
"경기도 고양덕양구 고양동","263-3","0263","0003","문화주택","32.8","23.18","200608","10","1,700","1","1990","대양로285번길 48-2"
"경기도 고양덕양구 고양동","270-13","0270","0013","미래하이츠빌라(270-13)","36.58","25.75","200608","19","3,250","2","1990","대양로285번길 16"
"경기도 고양덕양구 고양동","270-20","0270","0020","미래하이츠빌라(270-20)","36.53","20.5","200608","28","3,500","3","1990","대양로285번길 24-2"
"경기도 고양덕양구 고양동","1014","1014","0000","보광빌라(341-25)","37.68","29.75","200608","30","2,000","-1","1989","보광로 14-1"
"경기도 고양덕양구 고양동","1073","1073","0000","보라빌라","67.68","54.71","200608","9","5,400","2","1986","보광로 21"
"경기도 고양덕양구 고양동","378","0378","0000","서정빌라","47.04","44.31","200608","13","4,600","3","1991","읍내로 88"
"경기도 고양덕양구 고양동","283-7","0283","0007","성지빌라(283-7)","53.1","41.02","200608","24","4,200","2","1995","대양로285번길 19"
"경기도 고양덕양구 고양동","11-10","0011","0010","신성빌라(11-10)","31.44","22.68","200608","26","3,650","2","1992","혜음로 101"
"경기도 고양덕양구 고양동","345","0345","0000","신풍주택(345-0)","35.91","20.88","200608","25","3,300","2","1991","대양로 317-15"
"경기도 고양덕양구 고양동","390","0390","0000","예원빌라트(390-0)","47.95","37.82","200608","15","5,000","5","2004","읍내로 87-26"
"경기도 고양덕양구 고양동","385-9","0385","0009","이레홈타운(385-9)","77.88","55.98","200608","19","8,500","3","2003","읍내로 87-14"
"경기도 고양덕양구 고양동","1050","1050","0000","청림빌라13동","77.4","41.88","200608","16","6,900","3","1993","보광로 24-3"
"경기도 고양덕양구 고양동","91-1","0091","0001","한양빌라","74.04","50.66","200608","17","7,500","1","1985","벽제관로 38-31"
