"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
"* 주택매매 거래는 부동산 거래신고 등에 관한 법률 제3조에 따라 계약일로부터 60일 이내 신고토록 하고 있습니다."
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20130801 ~ 20130831"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명"
"강원도 강릉시 강동면 정동진리","50-90","0050","0090","힐이스턴하우스","49.89","76.95","201308","13","5,000","3","2007","헌화로 906-10"
"강원도 강릉시 내곡동","109-1","0109","0001","무지개","57.33","69.35","201308","30","5,000","1","1984","강변로194번길 15"
"강원도 강릉시 노암동","315","0315","0000","노암","47.11","48","201308","26","2,000","1","1981","노암길 40"
"강원도 강릉시 옥계면 현내리","429-1","0429","0001","동화","47.79","80.33","201308","8","2,850","3","1985","옥계로 1050"
"강원도 강릉시 초당동","222-8","0222","0008","초당한솔빌라1차","40.55","18.96","201308","17","3,800","3","1991","초당원길 99-5"
"강원도 강릉시 포남동","1278","1278","0000","민락","57.42","55.85","201308","20","6,300","2","1984","경강로2356번길 13"
"강원도 강릉시 포남동","1005-134","1005","0134","옥포","52.74","53.75","201308","21","2,700","2","1983","용지각길8번길 29"
"강원도 동해시 구미동","429","0429","0000","북평주공1차","46.86","93.34","201308","13","3,900","2","1986","구미3길 46"
"강원도 동해시 발한동","356-1","0356","0001","사문","54.925","58.5","201308","5","1,500","2","1983","해안로 635-15"
"강원도 동해시 용정동","509-1","0509","0001","해미르","60","84.62","201308","14","9,990","4","2011","초원1길 14-2"
"강원도 동해시 천곡동","1009-6","1009","0006","보광빌라","58.88","30.13","201308","26","4,900","3","1993","동굴1길 29"
"강원도 동해시 천곡동","1030-14","1030","0014","삼양주택","54.6","30","201308","19","3,800","2","1993","동굴1길 100"
"강원도 동해시 천곡동","998-11","0998","0011","은마빌라4차","84.84","60","201308","22","7,000","2","1994","충혼길 3-3"
"강원도 삼척시 남양동","345-2","0345","0002","백조(1~3동)","49.8","41.52","201308","14","4,500","4","1986","남양길 49"
"강원도 삼척시 당저동","34-1","0034","0001","두산(A,B동)","75.21","85.8","201308","16","7,200","1","1984","중앙로 269"
"강원도 삼척시 당저동","148-5","0148","0005","우산그린빌라","93.18","111.87","201308","30","8,200","3","1996","성당길 72-10"
"강원도 삼척시 도계읍 마교리","155","0155","0000","삼마","41.01","89.54","201308","21","2,400","2","1986","강원남부로 1736"
"강원도 속초시 교동","777-14","0777","0014","금도주택나동","50.67","56.25","201308","27","2,100","2","1983","미시령로 3366"
