"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
"* 주택매매 거래는 부동산 거래신고 등에 관한 법률 제3조에 따라 계약일로부터 60일 이내 신고토록 하고 있습니다."
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20120701 ~ 20120731"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명"
"강원도 강릉시 내곡동","267","0267","0000","기산그린타운","30.59","57.51","201207","11","3,375","3","1997","범일로 528"
"강원도 강릉시 노암동","639-22","0639","0022","남산","50.04","73.5","201207","6","3,900","3","1986","임영로25번길 20-10"
"강원도 강릉시 노암동","282-1","0282","0001","한일","62.28","54.61","201207","23","1,500","3","1978","연화봉길33번길 6-15"
"강원도 강릉시 송정동","39-4","0039","0004","해당화","39.64","63.3","201207","3","3,000","2","1979","해안로 91"
"강원도 강릉시 연곡면 영진리","161","0161","0000","동해의아침","31.59","27.73","201207","3","4,250","2","2003","영진1길 65"
"강원도 강릉시 주문진읍 교항리","69-6","0069","0006","동해주택","59.46","62.8","201207","6","2,450","1","1983","신리2길 4"
"강원도 강릉시 주문진읍 교항리","69-6","0069","0006","동해주택","59.46","62.8","201207","9","2,300","3","1983","신리2길 4"
"강원도 강릉시 주문진읍 주문리","212-5","0212","0005","등대","65.44","52.94","201207","20","3,000","1","1994","등대길 18"
"강원도 고성군 거진읍 반암리","16-2","0016","0002","반암비치하우스","75.15","63.9","201207","5","4,000","2","1992","반암길 18-1"
"강원도 동해시 구미동","429","0429","0000","북평주공1차","46.79","93.21","201207","19","4,150","1","1986","구미3길 46"
"강원도 동해시 동회동","264-17","0264","0017","국민주택(7~10동)","71.16","112.4","201207","31","2,500","2","1983","신당3길 13-1"
"강원도 동해시 발한동","356-1","0356","0001","사문","54.925","58.5","201207","17","2,500","1","1983","해안로 635-15"
"강원도 동해시 발한동","118-1","0118","0001","성남AB","58.32","54.4","201207","31","3,000","3","1985","향로복개로 7-9"
"강원도 동해시 발한동","240-75","0240","0075","한일","66.14","96.57","201207","21","3,900","2","1980","발한로 169-18"
"강원도 동해시 부곡동","106-2","0106","0002","삼정(가나)","43.47","50.52","201207","16","3,000","3","1986","부곡3길 26"
"강원도 동해시 부곡동","5-152","0005","0152","일정타워빌라","59.7","68.58","201207","20","3,900","2","1992","전망대길 26-2"
"강원도 동해시 천곡동","995-21","0995","0021","(995-21)","56.02","48.58","201207","25","2,500","1","1993","감추7길 7"
"강원도 동해시 천곡동","973-2","0973","0002","범진빌라2차(B)","65.16","34.78","201207","23","5,200","1","1993","감추2길 28"
"강원도 동해시 천곡동","973-4","0973","0004","범진빌라5차","91.26","66.3","201207","25","8,800","3","1994","감추2길 32"
"강원도 동해시 천곡동","1030-15","1030","0015","보성빌라","49.795","33.25","201207","14","4,200","3","1995","동굴1길 102"
"강원도 동해시 천곡동","941","0941","0000","중앙빌라트","96.06","15.21","201207","25","6,200","4","2002","동굴로 147"
"강원도 삼척시 남양동","345-2","0345","0002","백조(1~3동)","49.8","41.52","201207","2","4,200","1","1986","남양길 49"
"강원도 속초시 금호동","625-200","0625","0200","성진","56.28","67.08","201207","27","4,250","3","1985","번영로67번길 24-11"
"강원도 속초시 동명동","512-53","0512","0053","중앙","59.34","90.59","201207","6","2,900","1","1985","번영로129번길 29-21"
"강원도 속초시 영랑동","183","0183","0000","대양(183)","64.41","66","201207","3","4,200","2","1983","번영로 181"
"강원도 속초시 조양동","1463-14","1463","0014","부화","48.6","51.2","201207","16","3,000","4","1990","동해대로3950번길 26"
"강원도 속초시 조양동","1431-1","1431","0001","설악비치하우스","21.12","31.39","201207","2","2,000","1","1987","해오름로 202"
"강원도 속초시 조양동","590-1","0590","0001","설악빌리지","72.78","89.24","201207","3","7,000","3","1990","청대마을길 5"
"강원도 양구군 양구읍 상리","111-4","0111","0004","우성3동","59.82","64","201207","9","4,500","2","1993","중심로 77-14"
"강원도 영월군 영월읍 덕포리","633-7","0633","0007","늘푸른빌라(A동)","75.56","84.13","201207","14","7,750","3","2006","덕포하리1길 36-2"
"강원도 영월군 영월읍 영흥리","727","0727","0000","대한아트빌(727)","84.47","102.63","201207","4","13,000","3","2010","봉래산로 90-23"
"강원도 영월군 영월읍 영흥리","777-2","0777","0002","동광맨션(B동)","76.28","65.25","201207","15","11,200","2","2005","봉래산로 56"
"강원도 영월군 영월읍 하송리","52","0052","0000","태광주택(다.라동)","84.84","63.42","201207","2","5,000","2","1997","은행나무1길 42"
"강원도 영월군 주천면 주천리","897-56","0897","0056","해피프러스","76.11","85.17","201207","2","10,200","3","2009","도천길 38-1"
"강원도 영월군 주천면 주천리","897-56","0897","0056","해피프러스","76.11","85.17","201207","9","10,350","3","2009","도천길 38-1"
"강원도 원주시 단계동","784","0784","0000","골든빌라","53.28","30.98","201207","6","4,300","4","1992","북원로2246번길 14"
"강원도 원주시 단계동","777-2","0777","0002","대웅주택","61.56","77.12","201207","14","3,700","1","1986","천사로 112"
"강원도 원주시 단계동","777-2","0777","0002","대웅주택","61.56","77.12","201207","17","3,900","2","1986","천사로 112"
"강원도 원주시 단계동","184-1","0184","0001","선호","65.52","117.4","201207","9","6,000","1","1986","원문로137번길 33"
