"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
"* 주택매매 거래는 부동산 거래신고 등에 관한 법률 제3조에 따라 계약일로부터 60일 이내 신고토록 하고 있습니다."
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20060301 ~ 20060331"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명"
"강원도 강릉시 교동","303-1","0303","0001","이화","56.79","79.16","200603","9","4,300","2","1984","율곡로2968번안길 2"
"강원도 강릉시 교동","303-1","0303","0001","이화","56.79","79.16","200603","30","3,800","1","1984","율곡로2968번안길 2"
"강원도 강릉시 내곡동","267","0267","0000","기산그린타운","49.57","93.19","200603","15","4,200","3","1997","범일로 528"
"강원도 강릉시 내곡동","267","0267","0000","기산그린타운","30.59","57.51","200603","29","1,500","4","1997","범일로 528"
"강원도 강릉시 노암동","694","0694","0000","은마주택","54.9","58.63","200603","27","3,450","3","1988","임영로 46"
"강원도 강릉시 송정동","216-1","0216","0001","소라A단지","56.34","111.69","200603","20","3,600","3","1986","송정길 15"
"강원도 강릉시 송정동","216-1","0216","0001","소라A단지","56.34","111.69","200603","23","3,100","1","1986","송정길 15"
"강원도 강릉시 송정동","216-3","0216","0003","소라임대주택C단지","56.34","77.24","200603","24","3,100","1","1985","송정길 20"
"강원도 강릉시 옥천동","368-3","0368","0003","유일","55.92","52.7","200603","6","3,000","2","1984","중기길 7"
"강원도 강릉시 용강동","29","0029","0000","서부시장","53.08","35.92","200603","9","4,300","3","1982","임영로155번길 6"
"강원도 강릉시 주문진읍 교항리","246-1","0246","0001","금성아트","80.24","64.8","200603","13","6,800","3","2003","민등산길 27"
"강원도 강릉시 포남동","515","0515","0000","삼화임대","48.6","97.95","200603","28","1,700","1","1988","강릉대로419번길 54"
"강원도 강릉시 포남동","1005-28","1005","0028","소라주택","59.4","59.52","200603","28","3,650","3","1984","용지각길38번길 18"
"강원도 강릉시 포남동","626-2","0626","0002","진양그린","58.51","46.56","200603","1","3,500","3","1994","가작로259번길 14-4"
"강원도 동해시 구미동","429","0429","0000","북평주공1차","46.86","93.34","200603","6","3,500","1","1986","구미3길 46"
"강원도 동해시 구미동","429","0429","0000","북평주공1차","46.86","93.34","200603","17","3,000","3","1986","구미3길 46"
"강원도 동해시 구미동","429","0429","0000","북평주공1차","46.86","93.34","200603","23","3,450","3","1986","구미3길 46"
"강원도 동해시 부곡동","118","0118","0000","강경빌라트3차","44.865","23.8","200603","27","2,420","2","1993","부곡3길 12"
"강원도 동해시 쇄운동","173-2","0173","0002","용산빌라","65.67","130.9","200603","14","2,500","1","1985","효자로 572"
"강원도 동해시 천곡동","1030-15","1030","0015","보성빌라","49.795","33.25","200603","6","2,975","2","1995","동굴1길 102"
"강원도 동해시 천곡동","995-17","0995","0017","유성골든빌라","81.3","53.6","200603","29","6,300","2","1995","감추7길 9"
"강원도 삼척시 남양동","345-2","0345","0002","백조(1~3동)","38.52","33.19","200603","8","2,000","1","1986","남양길 49"
"강원도 삼척시 도계읍 마교리","155","0155","0000","삼마","41.01","89.54","200603","9","1,000","2","1986","강원남부로 1736"
"강원도 속초시 금호동","625-88","0625","0088","성진주택","53.98","50","200603","6","2,650","2","1983","번영로67번길 17"
"강원도 속초시 영랑동","202","0202","0000","둥지빌라","74.21","116.5","200603","9","7,000","4","2004","영랑로6길 6"
"강원도 속초시 영랑동","202","0202","0000","둥지빌라","77.77","122.09","200603","13","7,000","2","2004","영랑로6길 6"
"강원도 속초시 조양동","1431-1","1431","0001","설악비치하우스","41.46","32.49","200603","23","3,000","3","1987","해오름로 202"
"강원도 속초시 조양동","1431-1","1431","0001","설악비치하우스","36.46","54.19","200603","29","2,000","3","1987","해오름로 202"
"강원도 속초시 조양동","590-1","0590","0001","설악빌리지","84.99","103.13","200603","15","6,100","1","1990","청대마을길 5"
"강원도 속초시 조양동","590-1","0590","0001","설악빌리지","84.99","103.13","200603","19","5,500","2","1990","청대마을길 5"
"강원도 속초시 조양동","527-4","0527","0004","현대(527-4)","66.32","50","200603","2","3,500","3","1995","소평로 120"
"강원도 양구군 양구읍 상리","381","0381","0000","성광다,라동","78.33","108.77","200603","6","2,800","1","1987","비봉로 37"
"강원도 양양군 양양읍 남문리","65-3","0065","0003","현산","54.81","78.84","200603","31","4,500","3","1986","남문5길 15-10"
"강원도 양양군 양양읍 연창리","317-4","0317","0004","동북3차","44.9","29.43","200603","2","2,100","3","1995","관아길 18-16"
"강원도 양양군 양양읍 연창리","158","0158","0000","새움빌리지","86.74","73.71","200603","21","11,000","4","2006","거릿말길 36-3"
"강원도 양양군 양양읍 연창리","158","0158","0000","새움빌리지","86.74","73.71","200603","21","11,000","2","2006","거릿말길 36-3"
"강원도 양양군 양양읍 연창리","158","0158","0000","새움빌리지","86.74","73.71","200603","21","11,000","3","2006","거릿말길 36-3"
"강원도 양양군 양양읍 연창리","158","0158","0000","새움빌리지","86.74","73.72","200603","31","11,000","4","2006","거릿말길 36-3"
"강원도 영월군 영월읍 덕포리","644-9","0644","0009","부영빌라(다동)","51.92","34.67","200603","24","1,600","3","1997","덕포하리1길 67"
"강원도 영월군 영월읍 덕포리","486-64","0486","0064","한영빌라","22.74","10.2","200603","15","700","4","2001","영월로 2085"
"강원도 영월군 영월읍 영흥리","761","0761","0000","별마로타운(105동)","119.07","137.07","200603","3","6,500","1","2005","내성길31번길 18"
"강원도 영월군 영월읍 하송리","248-1","0248","0001","영월주택","54.81","66.06","200603","13","2,950","3","1987","하송로 26"
"강원도 영월군 영월읍 하송리","189-8","0189","0008","진영주택","66.15","77.09","200603","7","3,100","1","1985","하송안길 43-4"
"강원도 원주시 단계동","781-5","0781","0005","구룡주택","65.52","80.5","200603","23","3,360","2","1984","단구로 16"
"강원도 원주시 소초면 장양리","1340-1","1340","0001","실버빌리지","30","43.72","200603","24","1,250","1","1995","장막1길 1-8"
"강원도 원주시 소초면 장양리","1293","1293","0000","우창","48.22","63.22","200603","13","2,050","2","1993","장막1길 64"
"강원도 원주시 소초면 장양리","1293","1293","0000","우창","48.22","63.22","200603","17","1,950","1","1993","장막1길 64"
"강원도 원주시 우산동","154-1","0154","0001","삼호C,D동","59.76","42.44","200603","21","2,950","-1","1991","북원로2425번길 53-2"
"강원도 원주시 우산동","248-1","0248","0001","우산","63.23","91.54","200603","31","2,900","1","1983","북원로2475번길 88-7"
"강원도 원주시 일산동","187-46","0187","0046","대림에버빌2차","74.28","45.09","200603","1","11,900","4","2005","동진골3길 35"
"강원도 원주시 일산동","187-46","0187","0046","대림에버빌2차","79.35","48.17","200603","20","12,000","2","2005","동진골3길 35"
"강원도 원주시 일산동","358-47","0358","0047","청마빌딩","77.12","54.27","200603","31","9,000","4","1992","무실로 148"
"강원도 원주시 태장동","1394-8","1394","0008","진우빌라","69.97","33.8","200603","20","3,100","1","1994","현충로314번길 39"
"강원도 원주시 태장동","1158-1","1158","0001","한남빌라","69.66","41.52","200603","7","3,800","1","1995","북원로2738번길 41"
"강원도 원주시 태장동","1158-1","1158","0001","한남빌라","74.155","44.02","200603","14","4,300","1","1995","북원로2738번길 41"
"강원도 원주시 흥업면 매지리","531-13","0531","0013","연세빌라(A동)","29","37.33","200603","3","1,320","3","2001","세동길 132"
"강원도 인제군 기린면 현리","447-11","0447","0011","창영빌라A동(창현)","75.66","58.25","200603","10","3,400","1","2002","내린천로 4078-7"
"강원도 인제군 인제읍 남북리","218-1","0218","0001","골든빌라바동","59.25","52.66","200603","28","2,500","3","1990","비봉로30번길 48"
"강원도 인제군 인제읍 남북리","218-5","0218","0005","골든빌라사동","59.95","51.33","200603","7","1,600","3","1990","비봉로30번길 48"
"강원도 인제군 인제읍 합강리","357-7","0357","0007","그린빌라","74.695","62.35","200603","31","3,000","1","1997","인제로240번길 9-3"
"강원도 정선군 남면 무릉리","624-17","0624","0017","증산그린빌라가동","62.03","44","200603","27","5,200","4","2001","도원5길 2"
"강원도 정선군 남면 무릉리","635-4","0635","0004","태양3차맨션","59.89","47.83","200603","6","4,300","4","1995","도원2길 15"
"강원도 정선군 북평면 북평리","752","0752","0000","대성빌라","58.14","47.65","200603","17","2,000","2","1993","북평2길 31"
"강원도 철원군 갈말읍 문혜리","911-1","0911","0001","선린빌라","39.42","25.88","200603","17","1,200","3","1990","두루미로 145-5"
"강원도 철원군 갈말읍 신철원리","602-1","0602","0001","도화연립","53.28","86.83","200603","8","2,750","3","1985","명성로158번길 95"
"강원도 철원군 갈말읍 신철원리","611-8","0611","0008","삼흥빌라(611-8)","54.06","49.73","200603","1","3,100","1","1991","명성로158번길 111"
"강원도 철원군 갈말읍 신철원리","548","0548","0000","성우아트빌라","82.29","78.19","200603","14","4,300","1","1993","군탄로 64"
"강원도 철원군 갈말읍 신철원리","641-1","0641","0001","에덴","87.69","75.2","200603","8","2,900","2","1982","삼부연로28번길 30"
"강원도 철원군 갈말읍 신철원리","641-1","0641","0001","에덴","87.69","75.2","200603","16","1,600","2","1982","삼부연로28번길 30"
"강원도 철원군 갈말읍 지포리","102-13","0102","0013","그린빌라","69.53","43.2","200603","2","5,000","2","1998","명성로139번길 14-5"
"강원도 철원군 동송읍 이평리","741-21","0741","0021","구백마관사","58.28","58","200603","16","2,000","2","1981","금학로 179-40"
