"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
"* 주택매매 거래는 부동산 거래신고 등에 관한 법률 제3조에 따라 계약일로부터 60일 이내 신고토록 하고 있습니다."
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20071201 ~ 20071231"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명"
"강원도 강릉시 구정면 학산리","656-112","0656","0112","하솔리치타운","125.97","166.33","200712","26","16,000","3","2006","구정옥봉길 150-1"
"강원도 강릉시 내곡동","267","0267","0000","기산그린타운","30.59","57.51","200712","15","2,550","2","1997","범일로 528"
"강원도 강릉시 주문진읍 교항리","246-1","0246","0001","금성아트","80.24","64.8","200712","28","7,000","2","2003","민등산길 27"
"강원도 강릉시 주문진읍 교항리","246-1","0246","0001","금성아트","80.24","64.8","200712","28","7,000","2","2003","민등산길 27"
"강원도 강릉시 포남동","1278","1278","0000","민락","57.42","55.85","200712","31","3,700","3","1984","경강로2356번길 13"
"강원도 동해시 발한동","356-1","0356","0001","사문","54.925","58.5","200712","11","1,400","1","1983","해안로 635-15"
"강원도 동해시 부곡동","117-11","0117","0011","삼영A","54.6","37.36","200712","21","2,000","1","1993","부곡3길 14-11"
"강원도 동해시 천곡동","978-13","0978","0013","유성빌라","66.32","37.84","200712","4","3,500","4","1994","감추2길 4"
"강원도 삼척시 남양동","55-112","0055","0112","중앙시장B-가동","27","19.4","200712","21","1,000","2","1979","진주로 12-21"
"강원도 삼척시 남양동","343-11","0343","0011","청운빌라","72.18","82.33","200712","31","5,000","1","1993","남양안길 55"
"강원도 삼척시 도계읍 도계리","335-3","0335","0003","청송빌라(나)","74.7","142","200712","28","3,600","2","1990","도계우회로3길 18"
"강원도 삼척시 도계읍 도계리","344-15","0344","0015","현대","59.15","78.7","200712","7","1,900","2","1984","도계우회로 132"
"강원도 속초시 교동","777-22","0777","0022","동설악빌라2동","63.18","38.56","200712","18","3,400","2","1991","교동로6길 47"
"강원도 속초시 교동","777-16","0777","0016","동설악빌라6동","49.16","35.25","200712","17","3,200","3","1991","교동로6길 47"
"강원도 속초시 교동","777-17","0777","0017","동설악빌라7동","49.16","28.75","200712","3","1,850","2","1991","교동로6길 47"
"강원도 속초시 교동","767-47","0767","0047","무지개빌라","47.79","58.76","200712","3","2,400","3","1986","만천4길 4-13"
"강원도 속초시 교동","767-47","0767","0047","무지개빌라","59.49","73.15","200712","27","2,100","3","1986","만천4길 4-13"
"강원도 속초시 금호동","625-88","0625","0088","성진주택","53.98","50","200712","22","2,650","1","1983","번영로67번길 17"
"강원도 속초시 설악동","348-2","0348","0002","현대설악빌리지","60.11","194.77","200712","6","1,500","1","1988","청봉로1길 21"
"강원도 속초시 조양동","1463-14","1463","0014","부화","51.15","46.7","200712","17","4,500","2","1990","동해대로3950번길 26"
"강원도 속초시 조양동","1463-14","1463","0014","부화","49.8","45.47","200712","28","4,350","3","1990","동해대로3950번길 26"
"강원도 속초시 조양동","590-1","0590","0001","설악빌리지","72.78","89.24","200712","21","5,050","3","1990","청대마을길 5"
"강원도 양양군 양양읍 연창리","158","0158","0000","새움빌리지","86.74","73.71","200712","17","8,500","3","2006","거릿말길 36-3"
"강원도 양양군 양양읍 연창리","158","0158","0000","새움빌리지","86.74","73.71","200712","26","7,000","2","2006","거릿말길 36-3"
"강원도 영월군 영월읍 덕포리","644-3","0644","0003","인창빌라","54.24","58.78","200712","6","2,000","1","1996","덕포하리1길 75"
"강원도 영월군 영월읍 영흥리","1033-29","1033","0029","남양주택","53.52","66.96","200712","3","2,300","2","1990","영모전길 121"
"강원도 영월군 영월읍 영흥리","771-9","0771","0009","내성빌라","78.78","83.13","200712","31","4,000","2","1992","내성길 36"
"강원도 영월군 영월읍 영흥리","800-9","0800","0009","대흥주택(가동)","43.11","36.83","200712","6","1,710","2","1986","봉래산로 63"
"강원도 영월군 영월읍 영흥리","763-1","0763","0001","동우빌라","84.87","70.01","200712","17","6,000","2","1996","내성길31번길 12-5"
"강원도 영월군 영월읍 하송리","52-3","0052","0003","옥송주택(가.나동)","84.24","80.75","200712","27","3,600","4","1996","은행나무1길 46"
"강원도 원주시 봉산동","1055-7","1055","0007","제일","54.27","75.08","200712","13","3,000","3","1985","봉산1길 18"
"강원도 인제군 남면 신남리","373-1","0373","0001","대성연립A,B동","58.56","96","200712","21","2,200","2","1985","신남로 74"
"강원도 인제군 북면 원통리","674-9","0674","0009","대경빌라","74.68","50","200712","4","5,400","4","2004","원통로211번길 9"
"강원도 인제군 인제읍 상동리","268-6","0268","0006","낙원빌라","30.92","27.77","200712","12","2,860","3","2000","비봉로30번길 24"
"강원도 철원군 갈말읍 문혜리","856-18","0856","0018","삼우빌라트","86.025","54.01","200712","3","12,000","2","2007","두루미로 50-5"
"강원도 철원군 갈말읍 문혜리","911-1","0911","0001","선린빌라","39.42","25.87","200712","26","1,650","1","1990","두루미로 145-5"
"강원도 철원군 갈말읍 신철원리","611-4","0611","0004","삼흥빌라(611-4)","54.06","50.55","200712","1","3,300","3","1991","명성로158번길 111"
"강원도 철원군 갈말읍 신철원리","604-69","0604","0069","한샘빌라(604-69)","83.81","51.14","200712","31","5,000","4","1994","명성로174번길 54-10"
"강원도 철원군 동송읍 이평리","861-51","0861","0051","궁전빌라","61.215","56.2","200712","21","2,660","2","1998","이평로123번길 9"
"강원도 철원군 동송읍 이평리","848-61","0848","0061","모벡스빌","88.29","51.47","200712","1","8,000","2","2007","이평로95번길 24-1"
"강원도 철원군 동송읍 이평리","848-61","0848","0061","모벡스빌","88.29","51.47","200712","1","8,000","3","2007","이평로95번길 24-1"
"강원도 철원군 동송읍 이평리","848-61","0848","0061","모벡스빌","88.2","51.42","200712","31","9,000","3","2007","이평로95번길 24-1"
"강원도 철원군 철원읍 화지리","83-15","0083","0015","현대빌라","76.05","63.9","200712","5","5,500","2","1999","금학로317번길 26"
"강원도 춘천시 동내면 학곡리","313-25","0313","0025","그린빌라","49.86","42","200712","24","4,500","2","1993","학곡서길 27"
"강원도 춘천시 동내면 학곡리","313-2","0313","0002","실로암빌라A,B동","50.28","35.87","200712","26","3,350","4","1994","학곡서2길 20"
"강원도 춘천시 효자동","159-21","0159","0021","상우","58.815","74.48","200712","19","5,000","3","1982","효제길23번길 14"
"강원도 춘천시 효자동","159","0159","0000","스마일주택","58.77","71.11","200712","15","5,600","3","1984","효제길23번길 12"
"강원도 춘천시 후평동","731-17","0731","0017","우성빌라3","53.55","30","200712","26","2,300","4","1991","만천로199번길 31"
"강원도 태백시 문곡동","2-3","0002","0003","금성","49.92","91.67","200712","31","2,650","1","1993","태백로 1500"
