"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
"* 주택매매 거래는 부동산 거래신고 등에 관한 법률 제3조에 따라 계약일로부터 60일 이내 신고토록 하고 있습니다."
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20100501 ~ 20100531"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명"
"강원도 강릉시 노암동","282-1","0282","0001","한일","62.28","54.61","201005","14","2,400","1","1978","연화봉길33번길 6-15"
"강원도 강릉시 옥계면 현내리","429-1","0429","0001","동화","47.79","80.33","201005","17","2,100","3","1985","옥계로 1050"
"강원도 강릉시 옥계면 현내리","351-1","0351","0001","은하수","57.78","86.88","201005","6","2,500","3","1984","현내시장길 52"
"강원도 강릉시 옥천동","223","0223","0000","동부시장주택","59.5","13.4","201005","13","3,150","3","1977","옥천로 48"
"강원도 강릉시 옥천동","212-1","0212","0001","로얄","70.925","50.9","201005","4","4,350","2","1983","옥천로62번길 3"
"강원도 강릉시 주문진읍 교항리","69-6","0069","0006","동해주택","59.46","62.8","201005","24","2,000","3","1983","신리2길 4"
"강원도 강릉시 포남동","1005-63","1005","0063","조성맨션(1005-63)","66.74","65.9","201005","29","3,850","1","1984","경강로2224번길 16"
"강원도 동해시 발한동","559-30","0559","0030","평강빌라트1차","59.54","61.25","201005","19","3,000","1","1994","동호2길 21"
"강원도 동해시 부곡동","117-2","0117","0002","동화","61.68","44.2","201005","19","2,100","3","1980","부곡4길 11"
"강원도 동해시 부곡동","66-16","0066","0016","부곡B","53.28","63.62","201005","25","2,400","2","1984","수원지1길 12-2"
"강원도 동해시 북평동","115-2","0115","0002","하얀","86.06","50.02","201005","20","3,700","2","1998","전천로 273-2"
"강원도 동해시 용정동","268-124","0268","0124","(268-124)","35.42","36.74","201005","31","1,200","1","1989","봉오동길 11-3"
"강원도 동해시 천곡동","1035-4","1035","0004","뉴코아맨션CD","24.21","15.2","201005","27","950","2","1991","동굴3길 7-9"
"강원도 동해시 천곡동","970-30","0970","0030","동건아트빌라2차","74.47","43.52","201005","4","5,700","4","1995","감추6길 23-5"
"강원도 동해시 천곡동","1031-10","1031","0010","승우주택D","62.34","29.29","201005","10","4,700","2","1992","동굴1길 4-9"
"강원도 동해시 천곡동","1038-1","1038","0001","신흥맨션","74.63","31.3","201005","14","6,700","2","1995","동굴1길 80"
"강원도 동해시 천곡동","1008-5","1008","0005","신흥타워맨션C","55.38","24.77","201005","17","2,700","5","1996","동굴1길 49"
"강원도 삼척시 남양동","336-7","0336","0007","남양(가,나동)","59.13","106.75","201005","6","4,950","3","1983","남양길 13-112"
"강원도 삼척시 남양동","345-2","0345","0002","백조(1~3동)","49.8","41.52","201005","4","3,000","1","1986","남양길 49"
"강원도 삼척시 남양동","39-1","0039","0001","세원상가","68.335","19.5","201005","18","2,000","4","1993","중앙시장길 22-10"
"강원도 삼척시 성남동","114-28","0114","0028","대경샤인빌다동","67.99","39.2","201005","2","4,450","1","2004","엑스포로 116-41"
"강원도 삼척시 정상동","455","0455","0000","영진(가,나)","51.09","62.6","201005","12","2,200","1","1987","동해대로 4025-10"
"강원도 삼척시 정하동","41-243","0041","0243","해원상가","73.89","38.08","201005","25","4,600","6","1997","새천년도로 119"
"강원도 속초시 교동","769-32","0769","0032","남성국민주택","55.07","60.27","201005","22","2,600","3","1984","만천1길 69"
