"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
"* 주택매매 거래는 부동산 거래신고 등에 관한 법률 제3조에 따라 계약일로부터 60일 이내 신고토록 하고 있습니다."
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20070501 ~ 20070531"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명"
"강원도 강릉시 노암동","639-22","0639","0022","남산","50.04","73.5","200705","7","2,450","3","1986","임영로25번길 20-10"
"강원도 강릉시 노암동","694","0694","0000","은마주택","54.9","58.63","200705","29","3,300","2","1988","임영로 46"
"강원도 강릉시 포남동","1089-3","1089","0003","은하수국민주택","57.84","71.63","200705","22","3,000","1","1985","가작로 293"
"강원도 동해시 묵호진동","2-2","0002","0002","삼양비취타워","119.88","105.34","200705","28","10,000","8","1998","일출로 151"
"강원도 동해시 부곡동","74-7","0074","0007","영동5차주택","28.425","20.55","200705","17","1,282","4","1994","가마골길 26-12"
"강원도 동해시 천곡동","970-30","0970","0030","동건아트빌라2차","74.47","43.52","200705","30","5,000","4","1995","감추6길 23-5"
"강원도 동해시 천곡동","998-2","0998","0002","동산빌라2차","64.35","40.47","200705","22","4,000","3","1995","충혼길 15"
"강원도 동해시 천곡동","1035-2","1035","0002","범진빌라4차","56.61","30.71","200705","23","2,700","4","1993","동굴3길 7-10"
"강원도 동해시 천곡동","969-5","0969","0005","승우주택B동","32.04","20.15","200705","2","1,800","4","1999","감추1길 22-1"
"강원도 동해시 천곡동","963-1","0963","0001","효성타운2차","78.78","45.44","200705","28","4,750","1","1994","감추1길 3-1"
"강원도 삼척시 갈천동","65","0065","0000","사랑의집(101동~105동)","52.26","58.4","200705","7","2,724","1","2004","새천년도로 601-91"
"강원도 삼척시 갈천동","65","0065","0000","사랑의집(101동~105동)","52.26","58.4","200705","7","3,022","2","2004","새천년도로 601-91"
"강원도 삼척시 갈천동","65","0065","0000","사랑의집(101동~105동)","52.26","58.4","200705","7","2,823","1","2004","새천년도로 601-91"
"강원도 삼척시 갈천동","65","0065","0000","사랑의집(101동~105동)","52.26","58.4","200705","7","2,803","2","2004","새천년도로 601-91"
"강원도 삼척시 갈천동","65","0065","0000","사랑의집(101동~105동)","52.26","58.4","200705","9","2,794","1","2004","새천년도로 601-91"
"강원도 삼척시 갈천동","65-8","0065","0008","사랑의집(106동)","52.8","84.25","200705","7","3,293","2","2006","새천년도로 601-91"
"강원도 삼척시 갈천동","65-8","0065","0008","사랑의집(106동)","52.8","84.25","200705","7","3,233","1","2006","새천년도로 601-91"
"강원도 삼척시 갈천동","65-8","0065","0008","사랑의집(106동)","52.8","84.25","200705","7","3,158","1","2006","새천년도로 601-91"
"강원도 삼척시 갈천동","63","0063","0000","사랑의집(201동)","51.12","183.5","200705","9","4,172","1","2007","새천년도로 601-91"
"강원도 삼척시 갈천동","63","0063","0000","사랑의집(201동)","51.12","183.5","200705","9","4,172","1","2007","새천년도로 601-91"
"강원도 삼척시 갈천동","63","0063","0000","사랑의집(201동)","51.12","183.5","200705","9","4,172","2","2007","새천년도로 601-91"
"강원도 삼척시 갈천동","63","0063","0000","사랑의집(201동)","51.12","183.5","200705","9","4,172","2","2007","새천년도로 601-91"
"강원도 삼척시 당저동","148-5","0148","0005","우산그린빌라","93.18","111.87","200705","1","5,500","4","1996","성당길 72-10"
"강원도 삼척시 원덕읍 임원리","67-2","0067","0002","장미A","62.99","59.11","200705","1","4,100","2","1991","임원중앙로 19-14"
"강원도 삼척시 원덕읍 호산리","208-12","0208","0012","호산빌라","59.76","43.88","200705","14","4,280","2","1997","호산중앙로 11-28"
