"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
"* 주택매매 거래는 부동산 거래신고 등에 관한 법률 제3조에 따라 계약일로부터 60일 이내 신고토록 하고 있습니다."
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20121001 ~ 20121031"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명"
"강원도 강릉시 교동","303-1","0303","0001","이화","56.79","79.16","201210","23","5,500","1","1984","율곡로2968번안길 2"
"강원도 강릉시 교동","303-1","0303","0001","이화","56.79","79.16","201210","23","4,700","3","1984","율곡로2968번안길 2"
"강원도 강릉시 내곡동","267","0267","0000","기산그린타운","30.59","57.51","201210","12","3,200","1","1997","범일로 528"
"강원도 강릉시 내곡동","267","0267","0000","기산그린타운","30.59","57.51","201210","15","3,650","3","1997","범일로 528"
"강원도 강릉시 내곡동","267","0267","0000","기산그린타운","49.57","93.19","201210","18","5,150","1","1997","범일로 528"
"강원도 강릉시 내곡동","267","0267","0000","기산그린타운","30.59","57.51","201210","23","3,500","2","1997","범일로 528"
"강원도 강릉시 입암동","498-6","0498","0006","대목임대","31.15","44.3","201210","6","3,400","2","1987","용지로 43"
"강원도 강릉시 주문진읍 교항리","246-1","0246","0001","금성아트","80.24","64.8","201210","26","7,700","4","2003","민등산길 27"
"강원도 강릉시 포남동","1278","1278","0000","민락","57.42","55.85","201210","5","2,850","3","1984","경강로2356번길 13"
"강원도 강릉시 포남동","1005-134","1005","0134","옥포","52.74","53.75","201210","22","2,800","3","1983","용지각길8번길 29"
"강원도 강릉시 홍제동","121-22","0121","0022","경원","60.46","61.7","201210","8","5,850","1","1982","토성로 47-8"
"강원도 고성군 간성읍 흘리","22-3","0022","0003","알프스글로빌","31.904","131.92","201210","16","2,225","1","2004","흘리길 153"
"강원도 고성군 간성읍 흘리","22-3","0022","0003","알프스글로빌","31.904","131.92","201210","16","2,384","2","2004","흘리길 153"
"강원도 고성군 간성읍 흘리","22-3","0022","0003","알프스글로빌","22.028","91.09","201210","16","1,748","1","2004","흘리길 153"
"강원도 고성군 간성읍 흘리","22-3","0022","0003","알프스글로빌","31.904","131.92","201210","16","2,225","3","2004","흘리길 153"
"강원도 고성군 간성읍 흘리","22-3","0022","0003","알프스글로빌","22.404","92.64","201210","16","1,748","1","2004","흘리길 153"
"강원도 고성군 간성읍 흘리","22-3","0022","0003","알프스글로빌","31.904","131.92","201210","16","2,225","1","2004","흘리길 153"
"강원도 고성군 간성읍 흘리","22-3","0022","0003","알프스글로빌","22.028","91.09","201210","16","1,748","1","2004","흘리길 153"
"강원도 고성군 간성읍 흘리","22-3","0022","0003","알프스글로빌","22.028","91.09","201210","16","1,748","2","2004","흘리길 153"
"강원도 고성군 간성읍 흘리","22-3","0022","0003","알프스글로빌","31.904","131.92","201210","16","2,384","2","2004","흘리길 153"
"강원도 고성군 간성읍 흘리","22-3","0022","0003","알프스글로빌","22.028","91.09","201210","16","1,907","3","2004","흘리길 153"
"강원도 고성군 간성읍 흘리","22-3","0022","0003","알프스글로빌","44.432","183.72","201210","16","3,178","1","2004","흘리길 153"
"강원도 고성군 간성읍 흘리","22-3","0022","0003","알프스글로빌","31.904","131.92","201210","16","2,384","2","2004","흘리길 153"
"강원도 고성군 간성읍 흘리","22-3","0022","0003","알프스글로빌","31.904","131.92","201210","16","2,225","1","2004","흘리길 153"
"강원도 고성군 간성읍 흘리","22-3","0022","0003","알프스글로빌","22.028","91.09","201210","16","1,748","1","2004","흘리길 153"
"강원도 고성군 간성읍 흘리","22-3","0022","0003","알프스글로빌","31.904","131.92","201210","16","2,225","1","2004","흘리길 153"
"강원도 고성군 간성읍 흘리","22-3","0022","0003","알프스글로빌","22.028","91.09","201210","16","1,748","2","2004","흘리길 153"
"강원도 고성군 간성읍 흘리","22-3","0022","0003","알프스글로빌","44.432","183.72","201210","16","3,337","2","2004","흘리길 153"
"강원도 고성군 간성읍 흘리","22-3","0022","0003","알프스글로빌","31.904","131.92","201210","16","2,225","1","2004","흘리길 153"
"강원도 고성군 간성읍 흘리","22-3","0022","0003","알프스글로빌","31.904","131.92","201210","16","2,225","1","2004","흘리길 153"
"강원도 고성군 간성읍 흘리","22-3","0022","0003","알프스글로빌","54.632","225.9","201210","16","3,973","2","2004","흘리길 153"
"강원도 고성군 간성읍 흘리","22-3","0022","0003","알프스글로빌","22.028","91.09","201210","16","1,748","1","2004","흘리길 153"
"강원도 고성군 간성읍 흘리","22-3","0022","0003","알프스글로빌","54.632","225.9","201210","16","3,655","1","2004","흘리길 153"
"강원도 고성군 간성읍 흘리","22-3","0022","0003","알프스글로빌","44.432","183.72","201210","16","3,178","1","2004","흘리길 153"
"강원도 고성군 간성읍 흘리","22-3","0022","0003","알프스글로빌","22.404","92.64","201210","16","1,748","1","2004","흘리길 153"
"강원도 고성군 간성읍 흘리","22-3","0022","0003","알프스글로빌","31.904","131.92","201210","16","2,225","1","2004","흘리길 153"
"강원도 고성군 간성읍 흘리","22-3","0022","0003","알프스글로빌","44.432","183.72","201210","16","3,337","2","2004","흘리길 153"
"강원도 고성군 간성읍 흘리","22-3","0022","0003","알프스글로빌","22.028","91.09","201210","16","1,748","2","2004","흘리길 153"
"강원도 고성군 간성읍 흘리","22-3","0022","0003","알프스글로빌","54.632","225.91","201210","16","3,655","1","2004","흘리길 153"
"강원도 고성군 간성읍 흘리","22-3","0022","0003","알프스글로빌","54.632","225.9","201210","16","3,655","1","2004","흘리길 153"
"강원도 고성군 간성읍 흘리","22-3","0022","0003","알프스글로빌","22.404","92.64","201210","16","1,748","3","2004","흘리길 153"
"강원도 고성군 간성읍 흘리","22-3","0022","0003","알프스글로빌","22.404","92.64","201210","16","1,748","1","2004","흘리길 153"
"강원도 고성군 간성읍 흘리","22-3","0022","0003","알프스글로빌","22.404","92.64","201210","16","1,748","1","2004","흘리길 153"
"강원도 고성군 간성읍 흘리","22-3","0022","0003","알프스글로빌","31.904","131.92","201210","16","2,225","1","2004","흘리길 153"
"강원도 고성군 간성읍 흘리","22-3","0022","0003","알프스글로빌","54.632","225.9","201210","16","3,655","1","2004","흘리길 153"
"강원도 고성군 간성읍 흘리","22-3","0022","0003","알프스글로빌","31.904","131.92","201210","16","2,384","2","2004","흘리길 153"
"강원도 고성군 간성읍 흘리","22-3","0022","0003","알프스글로빌","22.028","91.09","201210","16","1,748","2","2004","흘리길 153"
"강원도 고성군 간성읍 흘리","22-3","0022","0003","알프스글로빌","31.904","131.92","201210","16","2,225","3","2004","흘리길 153"
"강원도 고성군 간성읍 흘리","22-3","0022","0003","알프스글로빌","44.432","183.72","201210","16","3,337","2","2004","흘리길 153"
"강원도 고성군 간성읍 흘리","22-3","0022","0003","알프스글로빌","54.632","225.9","201210","16","3,973","2","2004","흘리길 153"
"강원도 고성군 간성읍 흘리","22-3","0022","0003","알프스글로빌","22.404","92.64","201210","16","1,748","1","2004","흘리길 153"
"강원도 고성군 간성읍 흘리","22-3","0022","0003","알프스글로빌","22.404","92.64","201210","16","1,748","3","2004","흘리길 153"
"강원도 고성군 토성면 아야진리","137-44","0137","0044","일출빌라","63.04","57.96","201210","18","2,600","4","2000","아야진3길 5"
"강원도 동해시 구미동","429","0429","0000","북평주공1차","46.86","93.34","201210","9","4,000","2","1986","구미3길 46"
"강원도 동해시 발한동","118-1","0118","0001","성남AB","58.32","54.4","201210","9","2,800","3","1985","향로복개로 7-9"
"강원도 동해시 부곡동","68-7","0068","0007","금호","68.37","53","201210","17","2,150","1","1981","승지로 10"
"강원도 동해시 부곡동","117-2","0117","0002","동화","61.68","44.2","201210","12","1,000","3","1980","부곡4길 11"
"강원도 동해시 부곡동","117-11","0117","0011","삼영A","54.6","37.36","201210","10","3,100","3","1993","부곡3길 14-11"
"강원도 동해시 부곡동","117-5","0117","0005","삼영B","54.6","37.38","201210","26","3,100","2","1993","부곡3길 14-9"
"강원도 동해시 천곡동","998-2","0998","0002","동산빌라2차","67.38","42.38","201210","31","5,300","4","1995","충혼길 15"
"강원도 동해시 천곡동","1030-14","1030","0014","삼양주택","54.6","30","201210","26","3,300","3","1993","동굴1길 100"
"강원도 동해시 천곡동","1030-6","1030","0006","승우주택A","52.68","27.2","201210","25","4,000","2","1991","동굴1길 10-5"
"강원도 동해시 천곡동","978-13","0978","0013","유성빌라","66.32","37.84","201210","19","5,100","4","1994","감추2길 4"
"강원도 삼척시 남양동","345-2","0345","0002","백조(1~3동)","49.8","41.52","201210","1","4,000","4","1986","남양길 49"
