"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
"* 주택매매 거래는 부동산 거래신고 등에 관한 법률 제3조에 따라 계약일로부터 60일 이내 신고토록 하고 있습니다."
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20080301 ~ 20080331"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명"
"강원도 강릉시 교동","941-9","0941","0009","교동맨션","84.24","79.3","200803","20","5,300","4","1984","원대로8번길 42"
"강원도 강릉시 내곡동","267","0267","0000","기산그린타운","49.57","93.19","200803","11","3,500","2","1997","범일로 528"
"강원도 강릉시 내곡동","267","0267","0000","기산그린타운","49.57","93.19","200803","31","3,850","3","1997","범일로 528"
"강원도 강릉시 사천면 사천진리","24-5","0024","0005","선경","56.58","73.15","200803","28","2,800","3","1995","진리해변길 36"
"강원도 강릉시 주문진읍 주문리","1057-1","1057","0001","(1057-1)","46.11","39.93","200803","3","3,000","3","1997","민등산길 16-22"
"강원도 강릉시 초당동","222-8","0222","0008","초당한솔빌라1차","40.55","18.96","200803","7","2,600","4","1991","초당원길 99-5"
"강원도 강릉시 포남동","515","0515","0000","삼화임대","48.6","97.95","200803","14","2,580","3","1988","강릉대로419번길 54"
"강원도 강릉시 포남동","1191-1","1191","0001","혜성국민주택","55.65","108","200803","27","3,000","3","1984","경강로2323번길 4"
"강원도 고성군 죽왕면 삼포리","459-1","0459","0001","수진","59.04","70.66","200803","10","1,300","3","1994","순포로1길 17"
"강원도 동해시 구미동","429","0429","0000","북평주공1차","46.86","93.34","200803","12","3,300","1","1986","구미3길 46"
"강원도 동해시 구미동","429","0429","0000","북평주공1차","46.86","93.34","200803","25","3,700","1","1986","구미3길 46"
"강원도 동해시 발한동","233-80","0233","0080","강경빌라트4","26.4","22.11","200803","25","1,300","2","1993","지리골길 22"
