"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
"* 주택매매 거래는 부동산 거래신고 등에 관한 법률 제3조에 따라 계약일로부터 60일 이내 신고토록 하고 있습니다."
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20110601 ~ 20110630"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명"
"강원도 강릉시 교동","994-64","0994","0064","교동대호","84.96","117.86","201106","30","8,500","3","2001","강릉대로121번길 38"
"강원도 강릉시 교동","303-1","0303","0001","이화","56.79","79.16","201106","29","5,000","2","1984","율곡로2968번안길 2"
"강원도 강릉시 교동","837-3","0837","0003","한전기공사택","49.32","47.67","201106","10","2,800","2","1988","옛강일길38번길 3"
"강원도 강릉시 교동","837-3","0837","0003","한전기공사택","49.32","47.67","201106","10","2,800","3","1988","옛강일길38번길 3"
"강원도 강릉시 교동","837-3","0837","0003","한전기공사택","48.99","44.67","201106","10","2,600","3","1988","옛강일길38번길 3"
"강원도 강릉시 교동","837-3","0837","0003","한전기공사택","48.99","44.67","201106","10","2,600","2","1988","옛강일길38번길 3"
"강원도 강릉시 교동","837-3","0837","0003","한전기공사택","49.32","47.67","201106","10","2,800","1","1988","옛강일길38번길 3"
"강원도 강릉시 교동","837-3","0837","0003","한전기공사택","49.32","87.33","201106","10","3,000","3","1988","옛강일길38번길 3"
"강원도 강릉시 교동","837-3","0837","0003","한전기공사택","48.99","44.67","201106","10","2,600","1","1988","옛강일길38번길 3"
"강원도 강릉시 교동","837-3","0837","0003","한전기공사택","49.32","87.33","201106","10","3,000","1","1988","옛강일길38번길 3"
"강원도 강릉시 교동","837-3","0837","0003","한전기공사택","49.32","87.33","201106","10","3,000","2","1988","옛강일길38번길 3"
"강원도 강릉시 교동","837-3","0837","0003","한전기공사택","48.99","44.67","201106","10","2,600","2","1988","옛강일길38번길 3"
"강원도 강릉시 교동","837-3","0837","0003","한전기공사택","48.99","44.67","201106","10","2,600","1","1988","옛강일길38번길 3"
"강원도 강릉시 교동","837-3","0837","0003","한전기공사택","49.32","47.67","201106","10","2,800","1","1988","옛강일길38번길 3"
"강원도 강릉시 교동","837-3","0837","0003","한전기공사택","49.32","47.67","201106","10","2,800","2","1988","옛강일길38번길 3"
"강원도 강릉시 교동","837-3","0837","0003","한전기공사택","49.32","87.33","201106","10","3,000","2","1988","옛강일길38번길 3"
"강원도 강릉시 교동","837-3","0837","0003","한전기공사택","49.32","87.33","201106","10","3,000","3","1988","옛강일길38번길 3"
"강원도 강릉시 교동","837-3","0837","0003","한전기공사택","49.32","87.33","201106","10","3,000","1","1988","옛강일길38번길 3"
"강원도 강릉시 교동","837-3","0837","0003","한전기공사택","49.32","47.67","201106","10","2,800","3","1988","옛강일길38번길 3"
"강원도 강릉시 교동","837-3","0837","0003","한전기공사택","48.99","44.67","201106","10","2,600","3","1988","옛강일길38번길 3"
"강원도 강릉시 내곡동","109-1","0109","0001","무지개","57.33","69.35","201106","29","2,500","1","1984","강변로194번길 15"
"강원도 강릉시 노암동","315","0315","0000","노암","47.11","48","201106","22","2,470","1","1981","노암길 40"
"강원도 강릉시 노암동","282-1","0282","0001","한일","62.28","54.61","201106","1","1,900","1","1978","연화봉길33번길 6-15"
"강원도 강릉시 노암동","282-1","0282","0001","한일","62.28","54.61","201106","20","2,650","3","1978","연화봉길33번길 6-15"
"강원도 강릉시 송정동","110-54","0110","0054","송정","68.39","67.5","201106","25","4,200","2","1981","팔송길18번길 15"
"강원도 강릉시 포남동","1278","1278","0000","민락","57.42","55.85","201106","22","4,900","2","1984","경강로2356번길 13"
"강원도 강릉시 포남동","515","0515","0000","삼화임대","48.6","97.95","201106","15","3,400","2","1988","강릉대로419번길 54"
"강원도 강릉시 포남동","1089-3","1089","0003","은하수국민주택","58.42","71.63","201106","25","3,500","2","1985","가작로 293"
"강원도 강릉시 포남동","1111-5","1111","0005","풍호주택","91.025","51.85","201106","21","8,700","3","1994","강릉대로359번길 5-8"
"강원도 강릉시 홍제동","28-14","0028","0014","대호A동","34.59","24.73","201106","28","2,950","2","1999","골말길 40"
"강원도 강릉시 홍제동","139-6","0139","0006","삼진","50.77","35.55","201106","20","2,950","3","1980","홍제로 34"
"강원도 동해시 발한동","230-1","0230","0001","동호주택","71.42","115.4","201106","10","2,500","1","1984","발한로 159-9"
"강원도 동해시 북평동","115-2","0115","0002","하얀","86.06","50.02","201106","1","4,500","2","1998","전천로 273-2"
"강원도 동해시 용정동","250-10","0250","0010","봉오","59.1","92","201106","27","2,800","2","1983","봉오동길 20"
"강원도 동해시 천곡동","1034-5","1034","0005","광명원룸빌라","26.865","15.47","201106","7","1,400","2","1999","동굴1길 12-2"
"강원도 동해시 천곡동","1034-5","1034","0005","광명원룸빌라","27.15","15.64","201106","7","1,400","2","1999","동굴1길 12-2"
"강원도 동해시 천곡동","998-2","0998","0002","동산빌라2차","67.38","42.38","201106","23","3,000","3","1995","충혼길 15"
"강원도 동해시 천곡동","1030-15","1030","0015","보성빌라","49.795","33.25","201106","15","3,500","3","1995","동굴1길 102"
"강원도 동해시 천곡동","1030-15","1030","0015","보성빌라","49.795","33.25","201106","22","3,700","3","1995","동굴1길 102"
"강원도 삼척시 남양동","39-1","0039","0001","세원상가","50.8","15.7","201106","27","2,000","5","1993","중앙시장길 22-10"
"강원도 삼척시 남양동","167-2","0167","0002","일국빌라","67.2","61.16","201106","6","3,990","2","1991","중앙로 125-27"
