"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
"* 주택매매 거래는 부동산 거래신고 등에 관한 법률 제3조에 따라 계약일로부터 60일 이내 신고토록 하고 있습니다."
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20110401 ~ 20110430"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명"
"강원도 강릉시 교동","893-30","0893","0030","(893-30)","64.29","86.7","201104","5","3,200","1","1982","임영로201번길 3-1"
"강원도 강릉시 교동","303-1","0303","0001","이화","56.79","79.16","201104","12","4,500","2","1984","율곡로2968번안길 2"
"강원도 강릉시 내곡동","267","0267","0000","기산그린타운","49.57","93.19","201104","6","2,700","2","1997","범일로 528"
"강원도 강릉시 내곡동","267","0267","0000","기산그린타운","49.57","93.19","201104","12","4,200","3","1997","범일로 528"
"강원도 강릉시 내곡동","267","0267","0000","기산그린타운","30.59","57.51","201104","14","2,700","2","1997","범일로 528"
"강원도 강릉시 내곡동","267","0267","0000","기산그린타운","30.59","57.51","201104","20","2,050","3","1997","범일로 528"
"강원도 강릉시 노암동","337","0337","0000","개나리","50.46","62.55","201104","1","3,000","2","1983","노암길41번길 14"
"강원도 강릉시 노암동","337","0337","0000","개나리","50.71","62.55","201104","22","3,100","1","1983","노암길41번길 14"
"강원도 강릉시 노암동","337","0337","0000","개나리","50.46","62.55","201104","22","3,100","1","1983","노암길41번길 14"
"강원도 강릉시 노암동","315","0315","0000","노암","65.88","65","201104","11","2,480","1","1981","노암길 40"
"강원도 강릉시 노암동","315","0315","0000","노암","47.11","48","201104","27","2,200","1","1981","노암길 40"
"강원도 강릉시 노암동","267-8","0267","0008","성덕주택(금모래)","49.14","69.68","201104","25","1,700","2","1983","강변로312번길 3"
"강원도 강릉시 송정동","216-1","0216","0001","소라A단지","56.34","111.69","201104","29","4,100","3","1986","송정길 15"
"강원도 강릉시 송정동","216-3","0216","0003","소라임대주택C단지","56.34","77.24","201104","2","4,000","3","1985","송정길 20"
"강원도 강릉시 옥천동","223","0223","0000","동부시장주택","60.99","15.5","201104","7","3,500","4","1977","옥천로 48"
"강원도 강릉시 용강동","29","0029","0000","서부시장","53.08","35.92","201104","25","3,500","3","1982","임영로155번길 6"
"강원도 강릉시 유산동","610-21","0610","0021","산장빌라","67.36","137.5","201104","1","4,500","1","1997","유산골길4번길 5"
"강원도 강릉시 임당동","89-21","0089","0021","세화","65.61","47","201104","20","5,500","2","1981","경강로2095번길 6-1"
"강원도 강릉시 주문진읍 교항리","244-28","0244","0028","가일","42.3","30.75","201104","25","2,950","4","2000","아래사다리길 29-3"
"강원도 강릉시 주문진읍 주문리","1157-98","1157","0098","소돌","48.09","57","201104","8","2,000","1","1983","신영길 21"
"강원도 강릉시 포남동","515","0515","0000","삼화임대","48.6","97.95","201104","16","3,300","2","1988","강릉대로419번길 54"
"강원도 강릉시 포남동","1005-28","1005","0028","소라주택","58.94","59.52","201104","28","4,200","3","1984","용지각길38번길 18"
"강원도 강릉시 포남동","1005-11","1005","0011","초원","56.76","53.74","201104","21","3,300","2","1984","경강로2234번길 14"
"강원도 강릉시 포남동","1111-5","1111","0005","풍호주택","91.025","51.85","201104","25","6,500","4","1994","강릉대로359번길 5-8"
