"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
"* 주택매매 거래는 부동산 거래신고 등에 관한 법률 제3조에 따라 계약일로부터 60일 이내 신고토록 하고 있습니다."
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20130301 ~ 20130331"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명"
"강원도 강릉시 강동면 산성우리","219-3","0219","0003","정동진우리하우스텔2","27.35","39.53","201303","21","12,700","4","2012","오이양지길 32-7"
"강원도 강릉시 강동면 산성우리","219-3","0219","0003","정동진우리하우스텔2","27.35","39.53","201303","22","9,300","3","2012","오이양지길 32-7"
"강원도 강릉시 강동면 산성우리","219-3","0219","0003","정동진우리하우스텔2","27.35","39.53","201303","22","13,000","4","2012","오이양지길 32-7"
"강원도 강릉시 강동면 산성우리","219-3","0219","0003","정동진우리하우스텔2","27.35","39.53","201303","28","6,000","3","2012","오이양지길 32-7"
"강원도 강릉시 강동면 산성우리","219-3","0219","0003","정동진우리하우스텔2","22.45","32.45","201303","28","6,000","2","2012","오이양지길 32-7"
"강원도 강릉시 강동면 산성우리","219-3","0219","0003","정동진우리하우스텔2","27.35","39.53","201303","28","6,000","2","2012","오이양지길 32-7"
"강원도 강릉시 강동면 산성우리","219-3","0219","0003","정동진우리하우스텔2","27.35","39.53","201303","28","6,000","4","2012","오이양지길 32-7"
"강원도 강릉시 강동면 산성우리","219-3","0219","0003","정동진우리하우스텔2","27.35","39.53","201303","28","6,000","3","2012","오이양지길 32-7"
"강원도 강릉시 강동면 산성우리","219-3","0219","0003","정동진우리하우스텔2","27.35","39.53","201303","28","6,000","4","2012","오이양지길 32-7"
"강원도 강릉시 강동면 산성우리","219-3","0219","0003","정동진우리하우스텔2","27.35","39.53","201303","28","6,000","2","2012","오이양지길 32-7"
"강원도 강릉시 강동면 산성우리","219-3","0219","0003","정동진우리하우스텔2","22.45","32.45","201303","28","6,000","3","2012","오이양지길 32-7"
"강원도 강릉시 강동면 산성우리","219-3","0219","0003","정동진우리하우스텔2","22.45","32.45","201303","28","6,000","2","2012","오이양지길 32-7"
"강원도 강릉시 강동면 산성우리","219-3","0219","0003","정동진우리하우스텔2","27.35","39.53","201303","28","6,000","2","2012","오이양지길 32-7"
"강원도 강릉시 강동면 산성우리","219-3","0219","0003","정동진우리하우스텔2","27.35","39.53","201303","28","6,000","3","2012","오이양지길 32-7"
"강원도 강릉시 강동면 산성우리","219-3","0219","0003","정동진우리하우스텔2","22.45","32.45","201303","28","6,000","4","2012","오이양지길 32-7"
"강원도 강릉시 강동면 산성우리","219-3","0219","0003","정동진우리하우스텔2","22.45","32.45","201303","28","6,000","3","2012","오이양지길 32-7"
"강원도 강릉시 강동면 산성우리","219-3","0219","0003","정동진우리하우스텔2","27.35","39.53","201303","28","6,000","2","2012","오이양지길 32-7"
"강원도 강릉시 강동면 산성우리","219-3","0219","0003","정동진우리하우스텔2","22.45","32.45","201303","28","6,000","4","2012","오이양지길 32-7"
"강원도 강릉시 교동","303-1","0303","0001","이화","56.79","79.16","201303","22","6,300","2","1984","율곡로2968번안길 2"
"강원도 강릉시 노암동","337","0337","0000","개나리","50.71","62.55","201303","19","4,400","1","1983","노암길41번길 14"
"강원도 강릉시 연곡면 행정리","68-5","0068","0005","캠브리지사원주택","53.82","157.85","201303","15","2,300","2","1991","행정1길 63-5"
"강원도 강릉시 연곡면 행정리","68-5","0068","0005","캠브리지사원주택","60.18","176.6","201303","15","2,150","1","1991","행정1길 63-7"
"강원도 강릉시 연곡면 행정리","68-5","0068","0005","캠브리지사원주택","53.82","157.85","201303","15","2,300","1","1991","행정1길 63-5"
"강원도 강릉시 연곡면 행정리","68-5","0068","0005","캠브리지사원주택","60.18","176.5","201303","15","2,650","2","1991","행정1길 63-5"
"강원도 강릉시 연곡면 행정리","68-5","0068","0005","캠브리지사원주택","53.82","157.85","201303","15","2,300","2","1991","행정1길 63-5"
"강원도 강릉시 연곡면 행정리","68-5","0068","0005","캠브리지사원주택","60.18","176.5","201303","15","2,650","1","1991","행정1길 63-5"
"강원도 강릉시 연곡면 행정리","68-5","0068","0005","캠브리지사원주택","53.82","157.85","201303","15","2,300","1","1991","행정1길 63-5"
"강원도 강릉시 연곡면 행정리","68-5","0068","0005","캠브리지사원주택","53.82","157.85","201303","15","1,800","1","1991","행정1길 63-7"
