"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
"* 주택매매 거래는 부동산 거래신고 등에 관한 법률 제3조에 따라 계약일로부터 60일 이내 신고토록 하고 있습니다."
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20090401 ~ 20090430"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명"
"강원도 강릉시 사천면 사천진리","24-5","0024","0005","선경","56.58","73.15","200904","21","2,170","2","1995","진리해변길 36"
"강원도 강릉시 송정동","216-3","0216","0003","소라임대주택C단지","56.34","77.24","200904","30","3,450","2","1985","송정길 20"
"강원도 강릉시 주문진읍 교항리","69-6","0069","0006","동해주택","59.46","62.8","200904","30","2,280","1","1983","신리2길 4"
"강원도 강릉시 포남동","1084-1","1084","0001","비둘기주택","58.77","9.12","200904","7","2,900","1","1984","가작로303번길 22"
"강원도 강릉시 포남동","1177-1","1177","0001","신일","57.77","63","200904","20","3,950","2","1985","성덕포남로182번길 26"
"강원도 고성군 죽왕면 삼포리","459-1","0459","0001","수진","59.04","70.66","200904","2","1,700","1","1994","순포로1길 17"
"강원도 동해시 구미동","429","0429","0000","북평주공1차","46.86","93.34","200904","2","3,700","1","1986","구미3길 46"
"강원도 동해시 발한동","233-80","0233","0080","강경빌라트4","57.96","48.54","200904","14","2,200","4","1993","지리골길 22"
"강원도 동해시 발한동","233-80","0233","0080","강경빌라트4","57.96","48.54","200904","15","3,000","4","1993","지리골길 22"
"강원도 동해시 발한동","597-11","0597","0011","동호타워","84.74","41.6","200904","11","4,700","6","1995","발한로 89"
"강원도 동해시 발한동","118-1","0118","0001","성남AB","75.33","70.28","200904","27","4,000","1","1985","향로복개로 7-9"
"강원도 동해시 발한동","240-75","0240","0075","한일","66.14","104.44","200904","17","2,100","2","1980","발한로 169-12"
"강원도 동해시 부곡동","68-7","0068","0007","금호","68.37","53","200904","14","1,800","1","1981","승지로 10"
"강원도 동해시 부곡동","117-2","0117","0002","동화","66.08","44.2","200904","21","2,000","3","1980","부곡4길 11"
"강원도 동해시 부곡동","106-15","0106","0015","부성빌라","35.16","14.27","200904","21","1,400","5","1996","임항로 58"
"강원도 동해시 부곡동","106-2","0106","0002","삼정(가나)","43.47","50.66","200904","3","1,600","4","1986","부곡3길 26"
"강원도 동해시 부곡동","7-75","0007","0075","장미(나)","67.88","32.5","200904","17","2,100","3","1981","부곡5길 34"
"강원도 동해시 용정동","250-10","0250","0010","봉오","59.1","92","200904","24","3,100","1","1983","봉오동길 20"
"강원도 동해시 천곡동","1009-6","1009","0006","보광빌라","58.88","30.13","200904","6","2,700","1","1993","동굴1길 29"
"강원도 동해시 천곡동","1008-8","1008","0008","영동주택E","54.6","31","200904","12","2,980","4","1992","동굴1길 43"
"강원도 동해시 천곡동","978-13","0978","0013","유성빌라","66.32","37.84","200904","15","3,900","4","1994","감추2길 4"
"강원도 동해시 천곡동","999-14","0999","0014","천곡힐탑빌라A","59.93","33.88","200904","23","1,333","1","1993","충혼길 19-6"
"강원도 동해시 천곡동","974-2","0974","0002","천보빌라2차","69.42","41.26","200904","16","4,500","1","1995","감추5길 14-1"
"강원도 삼척시 갈천동","65","0065","0000","사랑의집(101동~105동)","52.26","58.4","200904","5","3,424","1","2004","새천년도로 601-91"
"강원도 삼척시 근덕면 장호리","6-3","0006","0003","우진빌라","61.53","32.78","200904","15","4,000","4","1994","장호항길 80"
"강원도 삼척시 남양동","55-80","0055","0080","신한상가","76.43","23.65","200904","17","5,800","6","1995","중앙로 199"
"강원도 삼척시 마달동","53-2","0053","0002","누가빌라","84.62","119.15","200904","13","3,300","2","1995","마달1길 91"
"강원도 속초시 설악동","348-2","0348","0002","현대설악빌리지","65.95","100.35","200904","9","1,350","3","1988","청봉로1길 21"
"강원도 속초시 영랑동","183-5","0183","0005","대양(183-5)","64.41","66.38","200904","30","2,750","1","1983","번영로 181"
"강원도 속초시 영랑동","202","0202","0000","둥지빌라","74.21","116.5","200904","7","7,900","2","2004","영랑로6길 6"
"강원도 속초시 조양동","1463-14","1463","0014","부화","49.8","45.47","200904","13","4,500","1","1990","동해대로3950번길 26"
"강원도 속초시 조양동","1431-1","1431","0001","설악비치하우스","41.46","32.49","200904","14","4,000","2","1987","해오름로 202"
"강원도 속초시 조양동","590-1","0590","0001","설악빌리지","84.99","103.13","200904","1","6,500","2","1990","청대마을길 5"
"강원도 속초시 조양동","590-1","0590","0001","설악빌리지","72.78","89.24","200904","2","5,500","1","1990","청대마을길 5"
"강원도 속초시 조양동","590-1","0590","0001","설악빌리지","84.99","103.13","200904","19","6,500","2","1990","청대마을길 5"
"강원도 양구군 양구읍 상리","104-3","0104","0003","교보","39.92","63.43","200904","20","3,000","4","1997","중심로 126-9"
"강원도 양구군 양구읍 상리","104-3","0104","0003","교보","39.92","63.43","200904","24","3,000","2","1997","중심로 126-9"
"강원도 양양군 양양읍 구교리","203-2","0203","0002","태산","58.08","45.6","200904","20","3,550","2","1995","관아길 13-63"
"강원도 영월군 영월읍 덕포리","633-7","0633","0007","늘푸른빌라(A동)","75.56","84.13","200904","16","7,250","3","2006","덕포하리1길 36-2"
"강원도 영월군 영월읍 덕포리","633-9","0633","0009","늘푸른빌라(B동)","75.56","84.13","200904","14","6,800","3","2006","덕포하리1길 36"
"강원도 영월군 영월읍 덕포리","633-8","0633","0008","늘푸른빌라(C동)","75.56","84.13","200904","14","6,900","3","2006","덕포하리1길 36-1"
"강원도 영월군 영월읍 덕포리","633-8","0633","0008","늘푸른빌라(C동)","75.56","84.13","200904","14","6,900","2","2006","덕포하리1길 36-1"
"강원도 영월군 영월읍 덕포리","633-8","0633","0008","늘푸른빌라(C동)","75.56","84.13","200904","23","6,900","4","2006","덕포하리1길 36-1"
"강원도 영월군 영월읍 덕포리","632-11","0632","0011","은주주택","46.29","56.44","200904","7","1,200","3","1987","덕포하리3길 19-7"
"강원도 영월군 영월읍 영흥리","777-11","0777","0011","동광맨션(A동)","76.28","67.38","200904","7","10,000","3","2005","봉래산로 56"
"강원도 영월군 영월읍 팔괴리","1127-3","1127","0003","삼강주택","83.88","102.38","200904","13","4,770","2","1998","팔괴로 32-5"
