"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
"* 주택매매 거래는 부동산 거래신고 등에 관한 법률 제3조에 따라 계약일로부터 60일 이내 신고토록 하고 있습니다."
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20060401 ~ 20060430"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명"
"강원도 강릉시 교동","1003-6","1003","0006","(1003-6)","73.905","59.2","200604","25","5,600","2","1982","강릉대로 180"
"강원도 강릉시 교동","303-1","0303","0001","이화","56.79","79.16","200604","10","3,000","1","1984","율곡로2968번안길 2"
"강원도 강릉시 내곡동","267","0267","0000","기산그린타운","30.59","57.51","200604","11","2,500","1","1997","범일로 528"
"강원도 강릉시 노암동","267-8","0267","0008","성덕주택(금모래)","52.41","71.87","200604","20","2,200","1","1983","강변로312번길 3"
"강원도 강릉시 송정동","110-54","0110","0054","송정","68.4","67.5","200604","15","4,000","1","1981","팔송길18번길 15"
"강원도 강릉시 옥계면 현내리","669-1","0669","0001","전원빌라","88.5","89.83","200604","11","3,500","3","1997","옥계로 883"
"강원도 강릉시 주문진읍 교항리","106-14","0106","0014","신한","57.45","62.68","200604","18","2,850","2","1984","구보건소뒤길 10"
"강원도 강릉시 주문진읍 교항리","106-14","0106","0014","신한","57.45","62.68","200604","21","2,000","3","1984","구보건소뒤길 10"
"강원도 강릉시 포남동","1278","1278","0000","민락","57.42","55.85","200604","24","2,600","1","1984","경강로2356번길 13"
"강원도 강릉시 포남동","1005-134","1005","0134","옥포","52.74","53.75","200604","3","2,000","3","1983","용지각길8번길 29"
"강원도 강릉시 포남동","1005-45","1005","0045","조성맨션","52.65","50.4","200604","14","3,300","1","1984","용지각길38번길 14-1"
"강원도 강릉시 홍제동","990-21","0990","0021","서일빌라","23.72","14.16","200604","25","1,700","3","1992","하슬라로20번길 5"
"강원도 고성군 죽왕면 삼포리","459-1","0459","0001","수진","59.04","70.66","200604","19","1,000","3","1994","순포로1길 17"
"강원도 고성군 토성면 아야진리","137-44","0137","0044","일출빌라","63.04","57.96","200604","26","2,300","4","2000","아야진3길 5"
"강원도 동해시 부곡동","73-6","0073","0006","우정","51.81","61","200604","17","1,930","1","1984","가마골길 26-5"
"강원도 동해시 천곡동","1037-8","1037","0008","동명빌라","57.01","29.23","200604","26","2,100","2","1993","동굴3길 17"
"강원도 동해시 천곡동","1035-12","1035","0012","범주성지빌라(가)","59.43","32.21","200604","10","3,300","1","1993","동굴3길 7"
"강원도 삼척시 남양동","345-8","0345","0008","(345-8)","79.8","40","200604","10","4,000","3","1989","남양길 41-18"
"강원도 속초시 영랑동","202","0202","0000","둥지빌라","74.21","116.5","200604","7","6,800","2","2004","영랑로6길 6"
"강원도 속초시 조양동","590-1","0590","0001","설악빌리지","72.78","89.24","200604","3","4,600","2","1990","청대마을길 5"
"강원도 양구군 양구읍 상리","104-3","0104","0003","교보","39.92","63.43","200604","26","2,000","4","1997","중심로 126-9"
"강원도 양구군 양구읍 상리","207-27","0207","0027","신광나동","67.83","73.25","200604","27","4,500","1","1991","장터길 70-5"
"강원도 양양군 양양읍 구교리","209-4","0209","0004","(209-4)","62.855","54.94","200604","12","6,000","3","2006","관아길 4-33"
"강원도 양양군 양양읍 구교리","202-7","0202","0007","대성그린빌라","85.48","44.22","200604","4","3,600","1","1995","관아길 13-32"
"강원도 양양군 현남면 남애리","6-20","0006","0020","(6-20)","61.78","58.17","200604","13","2,100","1","1992","안남애길 29"
"강원도 영월군 영월읍 영흥리","777-12","0777","0012","동광맨션(C동)","76.28","70.38","200604","26","6,500","1","2005","봉래산로 56-2"
"강원도 영월군 영월읍 영흥리","761-1","0761","0001","별마로타운(104동)","77.93","97.17","200604","11","6,000","4","2005","내성길31번길 18"
"강원도 영월군 영월읍 하송리","27-1","0027","0001","대한아트빌","84.36","77.06","200604","3","9,000","2","2006","은행나무1길 68"
"강원도 영월군 영월읍 하송리","366-6","0366","0006","청룡빌라A동","80.04","62.4","200604","11","4,300","2","1993","하송로 134-13"
"강원도 원주시 단계동","781-5","0781","0005","구룡주택","64.56","80.5","200604","21","3,000","1","1984","단구로 16"
"강원도 원주시 단구동","686","0686","0000","보라매","66","72.22","200604","24","2,350","1","1984","단구로 304"
"강원도 원주시 단구동","1459-1","1459","0001","영진1","66.54","74.7","200604","5","3,300","2","1984","늘품로 113"
"강원도 원주시 소초면 장양리","1340-1","1340","0001","실버빌리지","30","43.72","200604","18","1,300","3","1995","장막1길 1-8"
"강원도 원주시 소초면 장양리","1293","1293","0000","우창","48.22","63.22","200604","13","1,900","2","1993","장막1길 64"
"강원도 원주시 소초면 장양리","1293","1293","0000","우창","48.22","63.22","200604","29","1,850","3","1993","장막1길 64"
"강원도 원주시 소초면 장양리","921","0921","0000","청송","54.84","92.2","200604","13","2,100","2","1983","북원로 3100-5"
"강원도 원주시 소초면 장양리","921","0921","0000","청송","54.84","92.3","200604","20","2,250","2","1983","북원로 3100-5"
"강원도 원주시 우산동","109-1","0109","0001","대일연립","59.49","58.1","200604","28","2,900","3","1988","상지대길 66-5"
"강원도 원주시 우산동","248-1","0248","0001","우산","63.23","91.54","200604","6","2,500","2","1983","북원로2475번길 88-7"
"강원도 원주시 우산동","95-3","0095","0003","진영","55.37","56.04","200604","26","2,300","1","1979","우무개로 9-10"
"강원도 원주시 일산동","187-46","0187","0046","대림에버빌2차","79.35","48.17","200604","1","11,900","2","2005","동진골3길 35"
"강원도 원주시 일산동","187-46","0187","0046","대림에버빌2차","74.28","45.09","200604","15","11,300","4","2005","동진골3길 35"
